BILL_TO,DATE,DUE_DATE,INVOICE_INFO,LOGO,NOTE,NUMBER,OTHER,PO_NUMBER,SELLER_NAME,TABLE,TAX,TITLE,TOTAL,TOTAL_WORDS,_source_file
"BILL_TO:
Tony Summers
50202 Reyes Stream
Taylorberg, AR 94800 US
Tel:+(784)144-6472
Email:connerchristopher@example.com
Site:https://martinez-schaefer.info/",Date: 07-Aug-1998,Due Date : 06-Apr-2015,[],,"Note:
This order is shipped through blue dart courier",INVOICE # 8979-021,"COMMERCIAL INVOICE

NK.NAG & CO,

Date: 07-Aug-1998
INVOICE # 8979-021
PO Number :89

BILL_TO:

Tony Summers

50202 Reyes Stream

Taylorberg, AR 94800 US
Tel:+(784)144-6472
Email:connerchristopher@example.com
Site:https://martinez-schaefer.info/

Due Date : 06-Apr-2015

16.00 | 360818 _| Chair increase however stock. 67.94 407.64

636626 Ten contain like. 11.73 70.38
817988 25.50

763905 _| Sell interesting game. 40.48 161.92

Note: TAX:VAT (6.21%): 41.34 USD
This order is shipped through blue dart courier TOTAL : 682.56 USD

Total in words: six hundred and eigh-
ty-two point five six
",PO Number :89,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.21%):  41.34 USD,COMMERCIAL INVOICE,TOTAL : 682.56 USD,"Total in words:  six hundred and eigh-
ty-two point five six",Template3_Instance107.json
"BILL_TO:
Albert Anderson
8691 Whitney Rapids
South Melindaside, ME 88779 US
Tel:+(527)619-5909
Email:kaitlynmcclain@example.net
Site:https://www.robinson.biz/",Invoice Date: 10-Apr-2001,Due Date : 27-Sep-1997,[],,Thank you for your business!,INVOICE # INV23831640,"COMMERCIAL INVOICE

NK.NAG & CO,

Invoice Date: 10-Apr-2001

INVOICE # INV23831640
PO Number :66

BILL_TO:

Albert Anderson

8691 Whitney Rapids

South Melindaside, ME 88779 US
Tel:+(527)619-5909
Email:kaitlynmcclain@example.net
Site:https://www.robinson.biz/

Due Date : 27-Sep-1997

261565 __| Yeah baby. 73.91 369.55

[5.00 | 674352 27.31 136.55
/4.00 | 887038 55.58 55.58

6.00 _| 123217 24,39 146.34

TAX:VAT (7.00%): 49.56 $
TOTAL : 734.07 $

Thank you for your business!

Total in words: seven hundred and thirt-
y-four point zero seven
",PO Number :66,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (7.00%):  49.56 $,COMMERCIAL INVOICE,TOTAL : 734.07 $,"Total in words:  seven hundred and thirt-
y-four point zero seven",Template3_Instance108.json
"BILL_TO:
William Yoder
7467 Jeanne Lodge
New Carl, NH 52963 US
Tel:+(017)746-0195
Email:eserrano@example.org
Site:https://martin-moore.com/",Invoice Date: 20-Mar-2022,Due Date : 05-Dec-2000,[],,Thank you for your business!,INVOICE ID INV10376325,"COMMERCIAL INVOICE

NK.NAG & CO,

Invoice Date: 20-Mar-2022

INVOICE ID INV10376325
PO Number :71

BILL_TO:

William Yoder

7467 Jeanne Lodge

New Carl, NH 52963 US
Tel:+(017)746-0195
Email:eserrano@example.org
Site:https://martin-moore.com/

Due Date : 05-Dec-2000

15.00 | 569552 _| Activity information. 43.16 215.80

580009 5.46

'6.00 | 108592 86.14 516.84
[4.00 | 863011 Thought then.

TAX:VAT (6.84%): 50.88 USD
TOTAL : 782.76 USD

Thank you for your business!

Total in words: seven hundred and eigh-
ty-two point seven six
",PO Number :71,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.84%):  50.88 USD,COMMERCIAL INVOICE,TOTAL : 782.76 USD,"Total in words:  seven hundred and eigh-
ty-two point seven six",Template3_Instance109.json
"BILL_TO:
Sean Gomez
1690 Jerry Green
East Andreaside, IL 32993 US
Tel:+(892)882-6723
Email:katelyn62@example.net
Site:https://wiggins-davis.com/",Invoice Date: 08-Mar-2016,Due Date : 13-Jul-2022,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 3Y8M6d-749,"TAX INVOICE
NK.NAG & CO,

Invoice Date: 08-Mar-2016
INVOICE # 3Y8M6d-749
PO Number :39

BILL_TO:

Sean Gomez

1690 Jerry Green

East Andreaside, IL 32993 US
Tel:+(892)882-6723
Email:katelyn62@example.net
Site:https://wiggins-davis.com/

Due Date : 13-Jul-2022

000281

[3.00 | 373286 35.13 105.39

16.00 | 489620 _| Stuff standard. 62.54 375.24

. ‘0, .
Note: All payments to be made in cash. TAXVAT (5.07%): 24.44 USD

Contact us for queries on these quotations. TOTAL : 485.61 USD

Total in words: four hundred and eigh-
ty-five point six one
",PO Number :39,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.07%):  24.44 USD,TAX INVOICE,TOTAL : 485.61 USD,"Total in words:  four hundred and eigh-
ty-five point six one",Template3_Instance11.json
"BILL_TO:
Peter Lewis
940 Leslie Tunnel
Moralesmouth, CT 55149 US
Tel:+(442)371-6829
Email:shannoncollins@example.org
Site:http://www.moore.com/",Invoice Date: 07-Jul-2010,Due Date : 27-Sep-2016,[],,Thank you for your business!,Invoice number 5Y3M2d-246,"TAX INVOICE

NK.NAG & CO,

Invoice Date: 07-Jul-2010

Invoice number 5Y3M2d-246
PO Number :46

BILL_TO:

Peter Lewis

940 Leslie Tunnel

Moralesmouth, CT 55149 US
Tel:+(442)371-6829
Email:shannoncollins@example.org
Site:http://www.moore.com/

Due Date : 27-Sep-2016

laty lin | Deseription | Unit price | Amoun

008143 _| Find plant. 39.78

824742 _| Leave few then. 36.56 109.68

[3.00 | 215679 41.54 124.62

TAX:VAT (6.25%): 17.13 USD
TOTAL : 277.64 USD

Thank you for your business!

Total in words: two hundred and sevent-
y-seven point six four
",PO Number :46,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.25%):  17.13 USD,TAX INVOICE,TOTAL : 277.64 USD,"Total in words:  two hundred and sevent-
y-seven point six four",Template3_Instance110.json
"BILL_TO:
Emily Gardner
2062 Jessica Parkways
Lake Sarahchester, NY 50910 US
Tel:+(951)524-2251
Email:alejandra20@example.net
Site:https://www.miller-acosta.com/",Invoice Date: 16-Sep-2008,Due Date : 15-May-2021,[],,Note:Total payment due in 14 days.,INVOICE ID INV20778807,"INVOICE

NK.NAG & CO,

Invoice Date: 16-Sep-2008

INVOICE ID INV20778807
PO Number :55

BILL_TO:

Emily Gardner

2062 Jessica Parkways

Lake Sarahchester, NY 50910 US
Tel:+(951)524-2251
Email:alejandra20@example.net
Site:https://www.miller-acosta.com/

Due Date : 15-May-2021

laty lin | Deseription | Unit price | Amoun

[2.00 | 485550 12.98
[3.00 | 364894 20.01

TAX:VAT (4.18%): 1.38 EUR
TOTAL : 33.58 EUR

Note:Total payment due in 14 days.

Total in words: thirty-three p-
oint five eight
",PO Number :55,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.18%):  1.38 EUR,INVOICE,TOTAL : 33.58 EUR,"Total in words:  thirty-three p-
oint five eight",Template3_Instance111.json
"BILL_TO:
Nichole Gill
442 Poole Spring
North Matthew, WI 58300 US
Tel:+(926)248-9410
Email:browncesar@example.com
Site:http://www.james.com/",Date: 24-Aug-1998,Due Date : 30-Oct-2013,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 2243-832,"INVOICE

NK.NAG & CO,

Date: 24-Aug-1998
INVOICE # 2243-832
PO Number :61

BILL_TO:

Nichole Gill

442 Poole Spring

North Matthew, WI 58300 US
Tel:+(926)248-9410
Email:browncesar@example.com
Site:http://www.james.com/

Due Date : 30-Oct-2013

laty lin | Deseription | Unit price | Amoun

198437 _| Assume bad style. 28.87 28.87
699007 63.43 317.15

. 0, .
Note: All payments to be made in cash. TAXVAT (4.96%): 17.17 EUR

Contact us for queries on these quotations. TOTAL : 348.35 EUR

Total in words: three hundred and forty-
-eight point three five
",PO Number :61,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.96%):  17.17 EUR,INVOICE,TOTAL : 348.35 EUR,"Total in words:  three hundred and forty-
-eight point three five",Template3_Instance112.json
"BILL_TO:
George Campbell
033 Kelly Shoal Suite 318
Port Ericfort, ND 45923 US
Tel:+(813)032-3888
Email:masonmiller@example.net
Site:https://www.brown-smith.com/",Date: 29-Jan-2019,Due Date : 09-Jun-2022,[],,Thank you for your business!,INVOICE # INV09933140,"TAX INVOICE

NK.NAG & CO,

Date: 29-Jan-2019
INVOICE # INV09933140
PO Number :26

BILL_TO:

George Campbell

033 Kelly Shoal Suite 318

Port Ericfort, ND 45923 US
Tel:+(813)032-3888
Email:masonmiller@example.net
Site:https://www.brown-smith.com/

Due Date : 09-Jun-2022

laty lin | Deseription | Unit price | Amoun

287327 Matter community send never. 44.45 88.90
854001 63.18 189.54

TAX:VAT (5.28%): 14.71 $

Thank you for your business!
TOTAL : 280.45 $

Total in words: two hundred and eig-
hty point four five
",PO Number :26,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.28%):  14.71 $,TAX INVOICE,TOTAL : 280.45 $,"Total in words:  two hundred and eig-
hty point four five",Template3_Instance113.json
"BILL_TO:
Christopher White
537 Anna Stream Apt. 280
West Debrastad, PR 28649 US
Tel:+(913)647-2666
Email:bakerlaura@example.net
Site:https://www.cunningham.biz/",Date: 13-Jul-2001,Due Date : 08-Sep-2020,[],,"Note:
This order is shipped through blue dart courier",Invoice number INV/38-74/455,"TAX INVOICE

NK.NAG & CO,

Date: 13-Jul-2001
Invoice number INV/38-74/455
PO Number :03

BILL_TO:

Christopher White

537 Anna Stream Apt. 280

West Debrastad, PR 28649 US
Tel:+(913)647-2666
Email:bakerlaura@example.net
Site:https://www.cunningham.biz/

Due Date : 08-Sep-2020

577890 _| Imagine seek others. 99.07 495.35
815095 _| Church mouth. 86.52 173.04

16.00 | 642972 _| Describe about sing phone. 45.02 270.12
704514 _| At food far. 63.67 127.34

110880 22.65 90.60

Note: TAX:VAT (4.79%): 55.45 USD
This order is shipped through blue dart courier TOTAL : 1179.52 USD

Total in words: one thousand, one hundred an-
d seventy-nine point five two
",PO Number :03,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.79%):  55.45 USD,TAX INVOICE,TOTAL : 1179.52 USD,"Total in words:  one thousand, one hundred an-
d seventy-nine point five two",Template3_Instance114.json
"BILL_TO:
Ryan Zimmerman
4410 Jesus Stream
Mitchellview, NH 43863 US
Tel:+(803)187-8891
Email:gavin62@example.net
Site:https://www.berry.com/",Date: 24-Aug-2022,Due Date : 02-Apr-2007,[],,Note:Total payment due in 14 days.,INVOICE # INV/93-02/347,"TAX INVOICE

NK.NAG & CO,

Date: 24-Aug-2022
INVOICE # INV/93-02/347
PO Number :90

BILL_TO:

Ryan Zimmerman

4410 Jesus Stream
Mitchellview, NH 43863 US
Tel:+(803)187-8891
Email:gavin62@example.net
Site:https://www.berry.com/

Due Date : 02-Apr-2007

462246 67.32 269.28
768893 __| Allow wide easy fire. 87.98 175.96

530249 _| Imagine ever Republican. 15.41 15.41
422879 11.31 11.34
386427 _ | Life star back. 94.59 94.59

TAX:VAT (5.98%): 33.88 EUR
TOTAL : 574.99 EUR

Note:Total payment due in 14 days.

Total in words: five hundred and seven-
ty-four point nine nine
",PO Number :90,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.98%):  33.88 EUR,TAX INVOICE,TOTAL : 574.99 EUR,"Total in words:  five hundred and seven-
ty-four point nine nine",Template3_Instance115.json
"BILL_TO:
Katherine Gordon
12799 Lopez Burgs Apt. 449
Yuside, SD 35233 US
Tel:+(008)734-6511
Email:trevor54@example.org
Site:http://le-lara.com/",Invoice Date: 24-Jun-2004,Due Date : 09-Jan-2023,[],,Thank you for your business!,INVOICE ID INV/19-44/244,"COMMERCIAL INVOICE

NK.NAG & CO,

Invoice Date: 24-Jun-2004

INVOICE ID INV/19-44/244
PO Number :69

BILL_TO:

Katherine Gordon

12799 Lopez Burgs Apt. 449
Yuside, SD 35233 US
Tel:+(008)734-6511
Email:trevor54@example.org
Site:http://le-lara.com/

Due Date : 09-Jan-2023

16.00 | 268406 86.69 520.14
727639 _| Herself possible religious. 14.01 28.02

[4.00 | 581253 19.72

707564 Particular indicate. | o96 =| 480 |

TAX:VAT (3.84%): 22.01 EUR
TOTAL : 569.61 EUR

Thank you for your business!

Total in words: five hundred and six-
ty-nine point six one
",PO Number :69,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.84%):  22.01 EUR,COMMERCIAL INVOICE,TOTAL : 569.61 EUR,"Total in words:  five hundred and six-
ty-nine point six one",Template3_Instance116.json
"BILL_TO:
Adam Howard
2940 Catherine Wall Suite 872
East Aaronland, IN 99636 US
Tel:+(251)417-4186
Email:kristieluna@example.net
Site:https://www.hendrix.com/",Invoice Date: 22-Sep-2018,Due Date : 17-Feb-2014,[],,"Note:
This order is shipped through blue dart courier",Invoice number 2Y6M9d-658,"INVOICE

NK.NAG & CO,

Invoice Date: 22-Sep-2018

Invoice number 2Y6M9d-658
PO Number :87

BILL_TO:

Adam Howard

2940 Catherine Wall Suite 872
East Aaronland, IN 99636 US
Tel:+(251)417-4186
Email:kristieluna@example.net
Site:https://www.hendrix.com/

Due Date : 17-Feb-2014

[5.00 | 201473 92.82 464.10

192943 42.33 253.98

16.00 | 299646 __| Mother listen receive however. 49.71 298.26

Note: TAX:VAT (4.39%): 44.59 EUR
This order is shipped through blue dart courier TOTAL : 1030.13 EUR

Total in words: one thousand and th-
irty point one three
",PO Number :87,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.39%):  44.59 EUR,INVOICE,TOTAL : 1030.13 EUR,"Total in words:  one thousand and th-
irty point one three",Template3_Instance117.json
"BILL_TO:
Daniel Lee
3782 Lisa Plaza Apt. 990
Lake Albert, OR 52264 US
Tel:+(481)476-7775
Email:muellerjacob@example.org
Site:http://meza.com/",Invoice Date: 20-Jun-2021,Due Date : 11-Feb-2000,[],,"Note:
This order is shipped through blue dart courier",INVOICE ID 6Y7M8d-027,"INVOICE

NK.NAG & CO,

Invoice Date: 20-Jun-2021
INVOICE ID 6Y7M8d-027
PO Number :63

BILL_TO:

Daniel Lee

3782 Lisa Plaza Apt. 990

Lake Albert, OR 52264 US
Tel:+(481)476-7775
Email:muellerjacob@example.org
Site:http://meza.com/

Due Date : 11-Feb-2000

197355 _| Include many word. 25.70 77.10
568735 _| Enjoy standard. 18.98 75.92

'3.00 | 346268 _| State accent. 93.68 281.04
14.00 | 682988 82.61 330.44

16.00 | 813808 | Age door matter. 30.65 183.90

Note: TAX:VAT (6.89%): 65.35 EUR
This order is shipped through blue dart courier TOTAL : 973.25 EUR

Total in words: nine hundred and seven-
ty-three point two five
",PO Number :63,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.89%):  65.35 EUR,INVOICE,TOTAL : 973.25 EUR,"Total in words:  nine hundred and seven-
ty-three point two five",Template3_Instance118.json
