BUYER,DATE,INVOICE_INFO,LOGO,NOTE,NUMBER,OTHER,PO_NUMBER,SELLER_ADDRESS,SELLER_EMAIL,SELLER_NAME,SUB_TOTAL,TABLE,TAX,TOTAL,TOTAL_WORDS,_source_file
"Bill to:Colton Santiago
62264 Anita Throughway
New Johnchester, OR 97583 US
Tel:+(709)980-2200
Email:burkematthew@example.com
Site:http://carson.com/",Invoice Date: 17-Feb-1998,[],,Thank you for choosing us!,Invoice number 3Y7M7d-728,"Invoice Date: 17-Feb-1998

Invoice number 3Y7M7d-728
PO Number :25

Bill to:Colton Santiago

62264 Anita Throughway

New Johnchester, OR 97583 US
Tel:+(709)980-2200
Email:burkematthew@example.com
Site:http://carson.com/

953553 Her wish before pattern. 95.64 95.64

SUB_TOTAL : 471.28 EUR
TAX:VAT (4.29%): 20.21 EUR
BALANCE DUE : 473.44 EUR

Total in words: four hundred and sevent-
y-three point four four

Thank you for choosing us!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :25,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 471.28  EUR,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.29%):  20.21 EUR,BALANCE DUE : 473.44 EUR,"Total in words:  four hundred and sevent-
y-three point four four",Template5_Instance107.json
"Bill to:Jason Hurst
63567 Janice Trace Apt. 298
West Michaelbury, GA 26918 US
Tel:+(773)807-3019
Email:hthomas@example.org
Site:https://ramirez.com/",Date: 19-Apr-2020,[],,"Note:
This order is shipped through blue dart courier",INVOICE ID INV/55-79/951,"Date: 19-Apr-2020
INVOICE ID INV/55-79/951
PO Number :91

Bill to:Jason Hurst

63567 Janice Trace Apt. 298
West Michaelbury, GA 26918 US
Tel:+(773)807-3019
Email:hthomas@example.org
Site:https://ramirez.com/

576324 Later able either wrong. 23.11 23.11
334505 Stand expect. 45.64 182.56

832003 Particularly area. 82.95 248,85
}6.00 | 586735 Couple open population. 28.56
4.00 866522 Process participant paper. 70.44 281.76

SUB_TOTAL : 764.84 USD
TAX:VAT (4.24%): 32.44 USD
BALANCE DUE : 762.86 USD

Total in words: seven hundred and six-
ty-two point eight six

Note:
This order is shipped through blue dart courier

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :91,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 764.84  USD,"[[{'bbox': [[7.0, 474.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.24%):  32.44 USD,BALANCE DUE : 762.86 USD,"Total in words:  seven hundred and six-
ty-two point eight six",Template5_Instance108.json
"Buyer :Amanda Smith
216 Tracy Extensions Apt. 357
Jacksonton, VT 38328 US
Tel:+(434)261-8803
Email:lisabowen@example.com
Site:https://www.david.com/",Date: 08-Nov-2008,[],,"Note:
This order is shipped through blue dart courier",INVOICE # 8Y9M2d-586,"Date: 08-Nov-2008

INVOICE # 8Y9M2d-586
PO Number :18

Buyer :Amanda Smith

216 Tracy Extensions Apt. 357
Jacksonton, VT 38328 US
Tel:+(434)261 -8803
Email:lisabowen@example.com
Site:https://www.david.com/

SUB_TOTAL : 240.45 USD
TAX:VAT (5.37%): 12.90 USD
BALANCE DUE : 243.73 USD

Total in words: two hundred and forty--
three point seven three

Note:
This order is shipped through blue dart courier

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :18,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 240.45  USD,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (5.37%):  12.90 USD,BALANCE DUE : 243.73 USD,"Total in words:  two hundred and forty--
three point seven three",Template5_Instance109.json
"Bill to:Erica Jordan
9592 Higgins Via
New Kaylamouth, GU 43383 US
Tel:+(139)348-1623
Email:emilyperez@example.org
Site:https://cantu-montgomery.com/",Invoice Date: 26-Apr-2005,[],,Note:Total payment due in 14 days.,INVOICE # 9Y8M6d-036,"Invoice Date: 26-Apr-2005

INVOICE # 9Y8M6d-036
PO Number :47

Bill to:Erica Jordan

9592 Higgins Via

New Kaylamouth, GU 43383 US
Tel:+(139)348-1623
Email:emilyperez@example.org
Site:https://cantu-montgomery.com/

057371 Us strategy. 50.59 451.77

443833 Candidate inside truth himself. 78.81 78.81
322821 Heart like. 45.08 90.16

SUB_TOTAL : 320.74 EUR
TAX:VAT (3.85%): 12.35 EUR
BALANCE DUE : 318.40 EUR

Total in words: three hundred and -
eighteen point four

Note:Total payment due in 14 days.

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :47,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 320.74  EUR,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.85%):  12.35 EUR,BALANCE DUE : 318.40 EUR,"Total in words:  three hundred and -
eighteen point four",Template5_Instance11.json
"Bill to:Hector Brown
70649 Stanley Plains
Deckertown, NJ 30473 US
Tel:+(249)141-5617
Email:cruzleslie@example.com
Site:https://collins-berry.com/",Invoice Date: 20-Jan-2017,[],,"Note:
This order is shipped through blue dart courier",INVOICE # INV/67-71/814,"Invoice Date: 20-Jan-2017

INVOICE # INV/67-71/814
PO Number :17

Bill to: Hector Brown

70649 Stanley Plains
Deckertown, NJ 30473 US
Tel:+(249)141-5617
Email:cruzleslie@example.com
Site:https://collins-berry.com/

719127 Meeting population. 49.39 49.39

SUB_TOTAL : 236.47 EUR
TAX:VAT (4.58%): 10.84 EUR
BALANCE DUE : 241.82 EUR

Total in words: two hundred and fort-
y-one point eight two

Note:
This order is shipped through blue dart courier

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :17,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 236.47  EUR,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.58%):  10.84 EUR,BALANCE DUE : 241.82 EUR,"Total in words:  two hundred and fort-
y-one point eight two",Template5_Instance110.json
"Buyer :Valerie Jones
037 Christopher Extension
Lake Toddburgh, NY 71553 US
Tel:+(565)173-0448
Email:colemanpaul@example.org
Site:https://jones.com/",Invoice Date: 27-Dec-2019,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # INV/31-33/016,"Invoice Date: 27-Dec-2019

INVOICE # INV/31-33/016
PO Number :82

Buyer :Valerie Jones

037 Christopher Extension

Lake Toddburgh, NY 71553 US
Tel:+(565)173-0448
Email:colemanpaul@example.org
Site:https://jones.com/

821563 Around wish bed. 22.75

}6.00 ‘| 121769 Assume collection toward strategy. 64,29 385.74

SUB_TOTAL : 408.49 EUR
TAX:VAT (4.48%): 18.28 EUR
BALANCE DUE : 421.21 EUR

Total in words: four hundred and twe-
nty-one point two one

Note: All payments to be made in cash.
Contact us for queries on these quotations.

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :82,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 408.49  EUR,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.48%):  18.28 EUR,BALANCE DUE : 421.21 EUR,"Total in words:  four hundred and twe-
nty-one point two one",Template5_Instance111.json
"Bill to:Bradley Estrada
127 Susan Passage Suite 449
Port Markport, ID 58301 US
Tel:+(554)117-9849
Email:whitekim@example.com
Site:http://simon.info/",Invoice Date: 25-Jun-2013,[],,Note:Total payment due in 14 days.,INVOICE ID INV37855279,"Invoice Date: 25-Jun-2013

INVOICE ID INV37855279
PO Number :05

Bill to:Bradley Estrada

127 Susan Passage Suite 449
Port Markport, ID 58301 US
Tel:+(554)117-9849
Email:whitekim@example.com
Site:http://simon.info/

649391 Serve heart financial. 18.51 37.02

633324 Hour real international. 67.54 202.62
560991 If beat prove. 88,23 441.15

SUB_TOTAL : 680.79 $
TAX:VAT (4.14%): 28.16 $
BALANCE DUE : 701.87 $

Total in words: seven hundred and o-
ne point eight seven

Note:Total payment due in 14 days.

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :05,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 680.79  $,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.14%):  28.16 $,BALANCE DUE : 701.87 $,"Total in words:  seven hundred and o-
ne point eight seven",Template5_Instance112.json
"Buyer :Matthew Cervantes
615 Dixon Hollow
North Carrie, RI 61246 US
Tel:+(547)577-5081
Email:thomas70@example.net
Site:http://www.flores.com/",Date: 07-Mar-2008,[],,Thank you for choosing us!,Invoice number INV/96-86/692,"Date: 07-Mar-2008

Invoice number INV/96-86/692
PO Number :55

Buyer :Matthew Cervantes
615 Dixon Hollow

North Carrie, RI 61246 US
Tel:+(547)577-5081
Email:thomas70@example.net
Site:http://www.flores.com/

259648 Itself account whose. 22.31 66.93

SUB_TOTAL : 778.92 USD
TAX:VAT (6.00%): 46.76 USD
BALANCE DUE : 816.02 USD

Total in words: eight hundred and si-
xteen point zero two

Thank you for choosing us!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :55,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 778.92  USD,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.00%):  46.76 USD,BALANCE DUE : 816.02 USD,"Total in words:  eight hundred and si-
xteen point zero two",Template5_Instance113.json
"Bill to:Amanda Horton
0524 Rhonda Villages
South Bradleyview, LA 88315 US
Tel:+(779)817-4007
Email:brewerrichard@example.net
Site:https://carter.com/",Date: 09-Mar-2020,[],,Thank you for your business!,INVOICE # INV/88-12/170,"Date: 09-Mar-2020

INVOICE # INV/88-12/170
PO Number :87

Bill to: Amanda Horton

0524 Rhonda Villages

South Bradleyview, LA 88315 US
Tel:+(779)817-4007
Email:brewerrichard@example.net
Site:https://carter.com/

996180 Sport close garden. 18.43 73.72

}6.00 | 208575 For data pass. 68.08 408.48
}6.00 | 920194 Table particular. 64.47 386.82

SUB_TOTAL : 1047.38 EUR
TAX:VAT (6.40%): 66.99 EUR
BALANCE DUE : 1076.77 EUR

Total in words: one thousand and sevent-
y-six point seven seven

Thank you for your business!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :87,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 1047.38  EUR,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.40%):  66.99 EUR,BALANCE DUE : 1076.77 EUR,"Total in words:  one thousand and sevent-
y-six point seven seven",Template5_Instance114.json
"Bill to:Amanda Thompson
94449 Danielle Pass Apt. 303
Gordontown, TX 63220 US
Tel:+(331)224-9612
Email:geraldwilliams@example.org
Site:https://velasquez.com/",Invoice Date: 16-Jul-2017,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",Invoice number INV41733760,"Invoice Date: 16-Jul-2017

Invoice number INV41733760
PO Number :14

Bill to:Amanda Thompson

94449 Danielle Pass Apt. 303
Gordontown, TX 63220 US
Tel:+(331)224-9612
Email:geraldwilliams@example.org
Site:https://velasquez.com/

098381 Note table guess. 33.69 67.38

733424 Truth then improve. 35.90 71,80
729398 Half week since. 92.02 368.08

SUB_TOTAL : 719.48 EUR
TAX:VAT (6.33%): 45.57 EUR
BALANCE DUE : 752.03 EUR

Total in words: seven hundred and fift-
y-two point zero three

Note: All payments to be made in cash.
Contact us for queries on these quotations.

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :14,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 719.48  EUR,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.33%):  45.57 EUR,BALANCE DUE : 752.03 EUR,"Total in words:  seven hundred and fift-
y-two point zero three",Template5_Instance115.json
"Buyer :Joseph Klein
0557 Norman Alley Suite 225
Lake Rachel, PR 13216 US
Tel:+(203)196-4600
Email:yjohnson@example.org
Site:http://www.guerrero.com/",Date: 23-Oct-1997,[],,"Note:
This order is shipped through blue dart courier",INVOICE # 5Y8M5d-143,"Date: 23-Oct-1997

INVOICE # 5Y8M5d-143
PO Number :16

Buyer :Joseph Klein

0557 Norman Alley Suite 225
Lake Rachel, PR 13216 US
Tel:+(203)196-4600
Email:yjohnson@example.org
Site:http://www.guerrero.com/

286438 Spend relate describe. 36.80

389508 Anyone image memory. 39.70 419.10

SUB_TOTAL : 155.90 EUR
TAX:VAT (3.75%): 5.85 EUR
BALANCE DUE : 159.01 EUR

Total in words: one hundred and fift-
y-nine point zero one

Note:
This order is shipped through blue dart courier

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :16,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 155.90  EUR,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.75%):  5.85 EUR,BALANCE DUE : 159.01 EUR,"Total in words:  one hundred and fift-
y-nine point zero one",Template5_Instance116.json
