BILL_TO,DATE,DISCOUNT,DUE_DATE,INVOICE_INFO,LOGO,NOTE,OTHER,SELLER_ADDRESS,SELLER_NAME,SUB_TOTAL,TABLE,TITLE,TOTAL,_source_file
"BILL_TO:
Lori Koch
05207 Victor Tunnel Suite 824
Floydmouth, TN 32620 US
Tel:+(313)110-8673
Email:mccullougherin@example.com
Site:http://lynch.com/",Invoice Date: 27-Mar-2003,DISCOUNT(3.59%): (-)  15.43,Due Date : 07-Nov-2021,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.","tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:
Lori Koch

05207 Victor Tunnel Suite 824

Floydmouth, TN 32620 US

Tel:+(313)110-8673

Email:mccullougherin@example.com

Site:http://lynch.com/

TOTAL : 436.77 USD

Due Date : 07-Nov-2021

Invoice Date: 27-Mar-2003

Description QUANTITY PRICE
Major practice late. 3.00 $76.50
Reason purpose try. 1.00 $76.92
Chance happen culture. 5.00 $24.68

SUB_TOTAL : 429.82 USD
DISCOUNT(3.59%): (-) 15.43

Note: All payments to be made in cash.
Contact us for queries on these quotations.

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 429.82  USD,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 436.77 USD,Template4_Instance140.json
"BILL_TO:
Amanda Ross
8697 Moore Port Suite 127
South Eric, NJ 69706 US
Tel:+(499)468-0508
Email:brucecharles@example.net
Site:https://www.haynes.com/",Invoice Date: 29-Nov-2016,DISCOUNT(3.04%): (-)  14.24,Due Date : 29-Mar-2008,[],,Thank you for your business!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:

Amanda Ross

8697 Moore Port Suite 127

South Eric, NJ 69706 US
Tel:+(499)468-0508
Email:brucecharles@example.net
Site:https://www.haynes.com/

TOTAL : 483.37 USD

Due Date : 29-Mar-2008

Invoice Date: 29-Nov-2016

Description QUANTITY PRICE
Deal sport. 5.00 $3.95

Number two. 5.00 $78.34
Risk game child. 2.00 $28.52

SUB_TOTAL : 468.49 USD
DISCOUNT(3.04%): (-) 14.24

Thank you for your business!

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 468.49  USD,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 483.37 USD,Template4_Instance141.json
"BILL_TO:
Caroline Pena
80461 Anderson Cliffs Apt. 586
Valeriechester, OH 38801 US
Tel:+(484)756-6310
Email:kristenhutchinson@example.org
Site:http://huber.info/",Invoice Date: 11-Aug-2008,DISCOUNT(3.15%): (-)  13.78,Due Date : 06-Nov-2010,[],,Thank you for your business!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

TAX INVOICE TOTAL : 448.51 $
BILL_TO:
Caroline Pena
80461 Anderson Cliffs Apt. 586 Due Date : 06-Nov-2010

Valeriechester, OH 38801 US
Tel:+(484)756-6310
Email:kristenhutchinson@example.org
Site:http://huber.info/

Invoice Date: 11-Aug-2008

Description QUANTITY PRICE
It human scene several. 5.00 $79.66
Bill various. 4.00 $9.80

SUB_TOTAL : 437.50 $
DISCOUNT(3.15%): (-) 13.78

Thank you for your business!
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 437.50  $,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",TAX INVOICE,TOTAL : 448.51 $,Template4_Instance142.json
"BILL_TO:
David Lee
73793 Shaun Gateway Apt. 562
Amandaton, MO 83956 US
Tel:+(691)211-0424
Email:brooksmichael@example.net
Site:https://www.watkins-brown.org/",Date: 10-May-2021,DISCOUNT(4.65%): (-)  44.4,Due Date : 27-Apr-2003,[],,Note:Total payment due in 14 days.,"tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:

David Lee

73793 Shaun Gateway Apt. 562
Amandaton, MO 83956 US
Tel:+(691)211-0424
Email:brooksmichael@example.net
Site:https://www.watkins-brown.org/

TOTAL : 977.02 USD

Due Date : 27-Apr-2003

Date: 10-May-2021

Description QUANTITY PRICE
Spring court three. 2.00 $96.49
Stage hit. 2.00 $57.54
Player evidence. 2.00 $91.66
Shake price. 3.00 $73.86
Discover well history. 6.00 $40.30

SUB_TOTAL : 954.76 USD
DISCOUNT(4.65%): (-) 44.4

Note:Total payment due in 14 days.

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 954.76  USD,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 977.02 USD,Template4_Instance143.json
"BILL_TO:
James Hays
25794 Jennifer Islands Suite 890
North Jacob, DC 79393 US
Tel:+(416)136-1686
Email:melissaherrera@example.org
Site:https://ball.com/",Date: 08-Oct-1993,DISCOUNT(3.32%): (-)  21.19,Due Date : 28-Mar-1998,[],,Note:Total payment due in 14 days.,"tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:
James Hays

25794 Jennifer Islands Suite 890

North Jacob, DC 79393 US

Tel:+(416)136-1686

Email:melissaherrera@example.org

Site:https://ball.com/

TOTAL : 657.57 USD

Due Date : 28-Mar-1998

Date: 08-Oct-1993

Description QUANTITY PRICE
Want turn. 3.00 $7.79

Drug our past catch. 1.00 $43.36
Prepare moment add. 3.00 $66.14
Face and significant. 6.00 $62.17

SUB_TOTAL : 638.17 USD
DISCOUNT(3.32%): (-) 21.19

Note:Total payment due in 14 days.

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 638.17  USD,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 657.57 USD,Template4_Instance144.json
"BILL_TO:
Diane Dominguez
58530 Tyler Cape
Mcdowellside, NE 22530 US
Tel:+(296)794-1735
Email:qgreen@example.net
Site:http://www.roberts-hunter.com/",Invoice Date: 19-Dec-2007,DISCOUNT(1.6%): (-)  8.41,Due Date : 04-Mar-2004,[],,"Note:
This order is shipped through blue dart courier","tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:

Diane Dominguez

58530 Tyler Cape

Mcdowellside, NE 22530 US
Tel:+(296)794-1735
Email:qgreen@example.net
Site:http://www.roberts-hunter.com/

TOTAL : 523.35 EUR

Due Date : 04-Mar-2004

Invoice Date: 19-Dec-2007

Description QUANTITY PRICE
Building suddenly. 3.00 $51.61
Level standard true. 5.00 $44.66
Per ever. 4.00 $36.80
SUB_TOTAL : 525.33 EUR
DISCOUNT(1.6%): (-) 8.41
Note:

This order is shipped through blue dart courier

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 525.33  EUR,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 523.35 EUR,Template4_Instance145.json
"BILL_TO:
Marcus Roth
5410 Terry Junction
North Michelle, ID 44014 US
Tel:+(107)195-8455
Email:virginia60@example.net
Site:http://www.harris-hobbs.biz/",Invoice Date: 12-Aug-2021,DISCOUNT(1.36%): (-)  6.35,Due Date : 21-Jul-2004,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.","tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

INVOICE

BILL_TO:

Marcus Roth

5410 Terry Junction

North Michelle, ID 44014 US
Tel:+(107)195-8455
Email:virginia60@example.net
Site:http://www.harris-hobbs.biz/

TOTAL : 481.63 $

Due Date : 21-Jul-2004

Invoice Date: 12-Aug-2021

Description QUANTITY PRICE
Must not PM. 3.00 $52.44
Study attack stuff. 3.00 $26.92
And memory. 4.00 $57.29

SUB_TOTAL : 467.24 $
DISCOUNT(1.36%): (-) 6.35

Note: All payments to be made in cash.
Contact us for queries on these quotations.

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 467.24  $,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",INVOICE,TOTAL : 481.63 $,Template4_Instance146.json
"BILL_TO:
Andrew Hernandez
5370 Carl Ferry
South Davidland, AS 87427 US
Tel:+(525)096-6721
Email:chavezcarlos@example.com
Site:http://walker.com/",Invoice Date: 06-Jun-2021,DISCOUNT(3.02%): (-)  7.41,Due Date : 07-Sep-2016,[],,Thank you for choosing us!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

TAX INVOICE

BILL_TO:

Andrew Hernandez

5370 Carl Ferry

South Davidland, AS 87427 US
Tel:+(525)096-6721
Email:chavezcarlos@example.com
Site:http://walker.com/

TOTAL : 246.01 USD

Due Date : 07-Sep-2016

Invoice Date: 06-Jun-2021

Description QUANTITY PRICE
News free hospital. 1.00 $80.21
Number but. 5.00 $33.01

SUB_TOTAL : 245.26 USD
DISCOUNT(3.02%): (-) 7.41

Thank you for choosing us!

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 245.26  USD,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",TAX INVOICE,TOTAL : 246.01 USD,Template4_Instance147.json
"BILL_TO:
Katie Brown
4130 Gonzales Forest Suite 489
South Joseph, OH 06567 US
Tel:+(232)970-9963
Email:torresthomas@example.net
Site:http://peterson.com/",Date: 24-Apr-2004,DISCOUNT(2.82%): (-)  32.64,Due Date : 23-Mar-2018,[],,Thank you for your business!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

COMMERCIAL INVOICE TOTAL : 1168.66 EUR
BILL_TO:
Katie Brown
4130 Gonzales Forest Suite 489 Due Date : 23-Mar-2018

South Joseph, OH 06567 US
Tel:+(232)970-9963
Email:torresthomas@example.net
Site:http://peterson.com/

Date: 24-Apr-2004

Description QUANTITY PRICE
Key she. 4.00 $91.11
Building. 6.00 $16.09
Value. 6.00 $83.66
Trouble education it. 3.00 $41.95
Bar writer. 2.00 $34.33

SUB_TOTAL : 1157.45 EUR
DISCOUNT(2.82%): (-) 32.64

Thank you for your business!
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 1157.45  EUR,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 1168.66 EUR,Template4_Instance148.json
"BILL_TO:
Andrew Graham
18553 John Row
Sabrinashire, IA 81952 US
Tel:+(268)034-3540
Email:josephramirez@example.com
Site:http://hall.com/",Date: 21-Nov-2020,DISCOUNT(4.0%): (-)  22.73,Due Date : 20-Aug-1998,[],,Thank you for your business!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

INVOICE

BILL_TO:

Andrew Graham

18553 John Row

Sabrinashire, IA 81952 US
Tel:+(268)034-3540
Email:josephramirez@example.com
Site:http://hall.com/

TOTAL : 579.94 USD

Due Date : 20-Aug-1998

Date: 21-Nov-2020

Description QUANTITY PRICE
Weight lose. 1.00 $15.31
Yet. 6.00 $92.17

SUB_TOTAL : 568.33 USD
DISCOUNT(4.0%): (-) 22.73

Thank you for your business!

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 568.33  USD,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",INVOICE,TOTAL : 579.94 USD,Template4_Instance149.json
"BILL_TO:
Kelly Watson
14498 Clements Skyway
South Ronaldbury, DC 39764 US
Tel:+(173)956-4295
Email:andreacross@example.net
Site:https://www.craig.info/",Date: 21-Jul-1995,DISCOUNT(2.19%): (-)  9.48,Due Date : 06-Mar-2012,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.","tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

INVOICE

BILL_TO:

Kelly Watson

14498 Clements Skyway

South Ronaldbury, DC 39764 US
Tel:+(173)956-4295
Email:andreacross@example.net
Site:https://www.craig.info/

TOTAL : 435.46 $

Due Date : 06-Mar-2012

Date: 21-Jul-1995

Description QUANTITY PRICE
Carry three. 5.00 $86.39
Stuff add born. 2.00 $0.52

SUB_TOTAL : 432.99 $
DISCOUNT(2.19%): (-) 9.48

Note: All payments to be made in cash.
Contact us for queries on these quotations.

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 432.99  $,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",INVOICE,TOTAL : 435.46 $,Template4_Instance15.json
"BILL_TO:
James Casey
5512 Claire Radial Apt. 709
West Kevin, MH 50213 US
Tel:+(394)932-0032
Email:shannonmcdaniel@example.net
Site:https://www.le.com/",Date: 28-Jun-2012,DISCOUNT(1.92%): (-)  2.92,Due Date : 10-Sep-2000,[],,Thank you for choosing us!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

TAX INVOICE

BILL_TO:

James Casey

5512 Claire Radial Apt. 709

West Kevin, MH 50213 US
Tel:+(394)932-0032
Email:shannonmcdaniel@example.net
Site:https://www.le.com/

TOTAL : 155.92 $

Due Date : 10-Sep-2000

Date: 28-Jun-2012

Description QUANTITY PRICE
Actually camera action. 3.00 $5.25
Player. 5.00 $27.29

SUB_TOTAL : 152.20 $
DISCOUNT(1.92%): (-) 2.92

Thank you for choosing us!

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 152.20  $,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",TAX INVOICE,TOTAL : 155.92 $,Template4_Instance150.json
"BILL_TO:
Julian Ewing
311 Yu Terrace
Port Alyssa, MT 40598 US
Tel:+(166)549-7986
Email:jessicajackson@example.com
Site:http://www.alvarez.com/",Invoice Date: 21-Aug-2022,DISCOUNT(1.78%): (-)  2.21,Due Date : 29-Apr-2005,[],,Thank you for choosing us!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:

Julian Ewing

311 Yu Terrace

Port Alyssa, MT 40598 US
Tel:+(166)549-7986
Email:jessicajackson@example.com
Site:http://www.alvarez.com/

TOTAL : 125.32 $

Due Date : 29-Apr-2005

Invoice Date: 21-Aug-2022

Description QUANTITY PRICE
Whatever organization. 1.00 $71.38
Soldier student. 5.00 $10.53

SUB_TOTAL : 124.03 $
DISCOUNT(1.78%): (-) 2.21

Thank you for choosing us!

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 124.03  $,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 125.32 $,Template4_Instance151.json
"BILL_TO:
Seth Richardson
842 Vasquez Flats Suite 136
New Karen, CO 68818 US
Tel:+(393)379-8723
Email:bergsophia@example.net
Site:http://greene-williams.net/",Invoice Date: 05-Aug-2021,DISCOUNT(4.71%): (-)  64.27,Due Date : 02-Nov-2003,[],,Thank you for your business!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

TAX INVOICE TOTAL : 1379.19 $
BILL_TO:
Seth Richardson
842 Vasquez Flats Suite 136 Due Date : 02-Nov-2003

New Karen, CO 68818 US
Tel:+(393)379-8723
Email:bergsophia@example.net
Site:http://greene-williams.net/

Invoice Date: 05-Aug-2021

Description QUANTITY PRICE
Chance call what. 6.00 $73.33
Investment ability set. 4.00 $69.64
Use seek nice. 1.00 $99.17
Happy movement significant say. 6.00 $91.14

SUB_TOTAL : 1364.55 $
DISCOUNT(4.71%): (-) 64.27

Thank you for your business!
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 1364.55  $,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",TAX INVOICE,TOTAL : 1379.19 $,Template4_Instance152.json
"BILL_TO:
Joseph Reed
760 Keith Lodge Apt. 249
Port Anthonybury, WY 56714 US
Tel:+(894)383-7170
Email:veronicawood@example.net
Site:https://www.wilson-dawson.com/",Invoice Date: 11-Jun-2009,DISCOUNT(3.34%): (-)  15.05,Due Date : 14-Jan-2005,[],,"Note:
This order is shipped through blue dart courier","tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:

Joseph Reed

760 Keith Lodge Apt. 249

Port Anthonybury, WY 56714 US
Tel:+(894)383-7170
Email:veronicawood@example.net
Site:https://www.wilson-dawson.com/

TOTAL : 457.44 $

Due Date : 14-Jan-2005

Invoice Date: 11-Jun-2009

Description QUANTITY PRICE
Business your free. 4.00 $15.85
West side region. 4.00 $49.22
Event student join various. 3.00 $63.43
SUB_TOTAL : 450.57 $
DISCOUNT(3.34%): (-) 15.05
Note:

This order is shipped through blue dart courier

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 450.57  $,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 457.44 $,Template4_Instance153.json
"BILL_TO:
Margaret Watson
3516 Singh Extension
Port Danielmouth, HI 88112 US
Tel:+(696)755-1023
Email:rachel68@example.net
Site:https://www.dixon-serrano.com/",Invoice Date: 19-May-2000,DISCOUNT(2.13%): (-)  6.4,Due Date : 30-Sep-1998,[],,"Note:
This order is shipped through blue dart courier","tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

TAX INVOICE

BILL_TO:

Margaret Watson

3516 Singh Extension

Port Danielmouth, HI 88112 US
Tel:+(696)755-1023
Email:rachel68@example.net
Site:https://www.dixon-serrano.com/

TOTAL : 314.43 EUR

Due Date : 30-Sep-1998

Invoice Date: 19-May-2000

Description QUANTITY PRICE
College compare order. 4.00 $65.28
If star. 2.00 $19.75
SUB_TOTAL : 300.62 EUR
DISCOUNT(2.13%): (-) 6.4
Note:

This order is shipped through blue dart courier

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 300.62  EUR,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",TAX INVOICE,TOTAL : 314.43 EUR,Template4_Instance154.json
"BILL_TO:
Mark Cook
3118 Elizabeth Flat Suite 356
Heatherside, NJ 61519 US
Tel:+(171)767-0447
Email:hbaker@example.net
Site:http://massey.com/",Date: 28-Dec-2000,DISCOUNT(1.32%): (-)  8.73,Due Date : 04-Feb-2012,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.","tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:

Mark Cook

3118 Elizabeth Flat Suite 356
Heatherside, NJ 61519 US
Tel:+(171)767-0447
Email:hbaker@example.net
Site:http://massey.com/

TOTAL : 695.47 EUR

Due Date : 04-Feb-2012

Date: 28-Dec-2000

Description QUANTITY PRICE
Population. 6.00 $64.92
Never at but. 3.00 $90.66

SUB_TOTAL : 661.50 EUR
DISCOUNT(1.32%): (-) 8.73

Note: All payments to be made in cash.
Contact us for queries on these quotations.

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 661.50  EUR,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 695.47 EUR,Template4_Instance155.json
"BILL_TO:
Dean Williams
143 Pacheco Throughway
Bethland, WY 54388 US
Tel:+(765)663-3872
Email:sophiablack@example.com
Site:http://www.mullen.com/",Invoice Date: 27-Apr-2005,DISCOUNT(2.0%): (-)  26.93,Due Date : 15-Jan-2016,[],,Thank you for choosing us!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

INVOICE TOTAL : 1385.78 $
BILL_TO:
Dean Williams
143 Pacheco Throughway Due Date : 15-Jan-2016

Bethland, WY 54388 US
Tel:+(765)663-3872
Email:sophiablack@example.com
Site:http:/(www.mullen.com/

Invoice Date: 27-Apr-2005

Description QUANTITY PRICE
Environment during. 6.00 $17.60
Dinner crime either. 5.00 $63.87
Later. 6.00 $83.51
Half seek. 2.00 $82.02
Real information need. 3.00 $85.47

SUB_TOTAL : 1346.46 $
DISCOUNT(2.0%): (-) 26.93

Thank you for choosing us!
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 1346.46  $,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",INVOICE,TOTAL : 1385.78 $,Template4_Instance156.json
"BILL_TO:
Katelyn Morales
374 Brett Grove
East Sandraborough, NV 59034 US
Tel:+(823)841-4303
Email:zoeavila@example.net
Site:http://www.green-perez.com/",Date: 31-Oct-2002,DISCOUNT(4.49%): (-)  30.48,Due Date : 08-Oct-1997,[],,Thank you for choosing us!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:

Katelyn Morales

374 Brett Grove

East Sandraborough, NV 59034 US
Tel:+(823)841-4303
Email:zoeavila@example.net
Site:http:/www.green-perez.com/

TOTAL : 713.78 $

Due Date : 08-Oct-1997

Date: 31-Oct-2002

Description QUANTITY PRICE
Ahead more world attack. 6.00 $88.35
Someone what whole. 5.00 $29.74

SUB_TOTAL : 678.80 $
DISCOUNT(4.49%): (-) 30.48

Thank you for choosing us!

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 678.80  $,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 713.78 $,Template4_Instance157.json
"BILL_TO:
Tyrone Smith
154 Olivia Drive
Port Kirsten, HI 08216 US
Tel:+(787)946-7597
Email:sarahnelson@example.com
Site:https://cole.com/",Date: 29-Jan-2018,DISCOUNT(1.34%): (-)  13.03,Due Date : 05-Aug-1993,[],,Thank you for choosing us!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

TAX INVOICE TOTAL : 1029.07 $
BILL_TO:
Tyrone Smith
154 Olivia Drive Due Date : 05-Aug-1993

Port Kirsten, HI 08216 US
Tel:+(787)946-7597
Email:sarahnelson@example.com
Site:https://cole.com/

Date: 29-Jan-2018

Description QUANTITY PRICE
Herself. 5.00 $73.55
Entire begin. 3.00 $93.37
Their only. 2.00 $15.68
Well actually stock. 5.00 $58.56
Alone water agree. 2.00 $0.24

SUB_TOTAL : 972.50 $
DISCOUNT(1.34%): (-) 13.03

Thank you for choosing us!
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 972.50  $,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",TAX INVOICE,TOTAL : 1029.07 $,Template4_Instance158.json
"BILL_TO:
Kathleen Lewis
8068 Bradley Turnpike
South Anthony, NV 27505 US
Tel:+(139)261-0911
Email:jonathansilva@example.com
Site:http://park.com/",Date: 21-Oct-2021,DISCOUNT(2.79%): (-)  23.68,Due Date : 21-Nov-2001,[],,Note:Total payment due in 14 days.,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:

Kathleen Lewis

8068 Bradley Turnpike

South Anthony, NV 27505 US
Tel:+(139)261-0911

Email:jonathansilva@example.com

Site:http://park.com/

TOTAL : 866.38 $

Due Date : 21-Nov-2001

Date: 21-Oct-2021

Description QUANTITY PRICE
Present physical dinner none. 6.00 $63.16
Chance rock. 3.00 $1.64

Thank wonder TV. 5.00 $85.52
Send pay crime body. 1.00 $37.22

SUB_TOTAL : 848.70 $
DISCOUNT(2.79%): (-) 23.68

Note:Total payment due in 14 days.

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 848.70  $,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 866.38 $,Template4_Instance159.json
"BILL_TO:
Matthew Villarreal
7023 Atkinson Loaf
Breannaport, NE 58058 US
Tel:+(668)105-0510
Email:rachel93@example.net
Site:http://stout.biz/",Invoice Date: 27-May-2005,DISCOUNT(1.75%): (-)  10.13,Due Date : 15-Apr-2002,[],,"Note:
This order is shipped through blue dart courier","tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:

Matthew Villarreal

7023 Atkinson Loaf
Breannaport, NE 58058 US
Tel:+(668)105-0510
Email:rachel93@example.net
Site:http://stout.biz/

TOTAL : 591.60 $

Due Date : 15-Apr-2002

Invoice Date: 27-May-2005

Description QUANTITY PRICE

Want all. 2.00 $18.74

Pay bag Democrat. 6.00 $76.53

Recognize data. 2.00 $36.67

Visit arm nearly. 5.00 $1.82
SUB_TOTAL : 579.10 $
DISCOUNT(1.75%): (-) 10.13

Note:

This order is shipped through blue dart courier

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 579.10  $,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 591.60 $,Template4_Instance16.json
"BILL_TO:
Elizabeth Butler
155 Gray Well Apt. 276
East Joefort, FL 21286 US
Tel:+(277)978-3998
Email:xrose@example.org
Site:http://wu.net/",Invoice Date: 01-Dec-1994,DISCOUNT(4.07%): (-)  66.99,Due Date : 09-Apr-1993,[],,Thank you for choosing us!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

COMMERCIAL INVOICE TOTAL : 1669.41 $
BILL_TO:
Elizabeth Butler
155 Gray Well Apt. 276 Due Date : 09-Apr-1993

East Joefort, FL 21286 US
Tel:+(277)978-3998
Email:xrose@example.org
Site:http://wu.net/

Invoice Date: 01-Dec-1994

Description QUANTITY PRICE
Win discussion. 3.00 $69.76
Take attack. 3.00 $85.36
Those believe. 6.00 $92.67
Figure. 6.00 $88.60
Mrs item time. 2.00 $46.46

SUB_TOTAL : 1645.90 $
DISCOUNT(4.07%): (-) 66.99

Thank you for choosing us!
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 1645.90  $,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 1669.41 $,Template4_Instance160.json
