BILL_TO,CURRENCY,DATE,DATE_NORM,DISCOUNT_AMOUNT,DUE_DATE,DUE_DATE_NORM,INVOICE_INFO,NOTE,NUMBER,PO_NUMBER,SELLER_NAME,SUB_TOTAL_AMOUNT,TABLE,TAX,TAX_AMOUNT,TITLE,TOTAL,TOTAL_AMOUNT,TOTAL_WORDS,_source_file
"BILL_TO:
Tony Summers
50202 Reyes Stream
Taylorberg, AR 94800 US
Tel:+(784)144-6472
Email:connerchristopher@example.com
Site:https://martinez-schaefer.info/",USD,Date: 07-Aug-1998,1998-08-07,,Due Date : 06-Apr-2015,2015-04-06,[],"Note:
This order is shipped through blue dart courier",INVOICE # 8979-021,PO Number :89,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.21%):  41.34 USD,41.34,COMMERCIAL INVOICE,TOTAL : 682.56 USD,682.56,"Total in words:  six hundred and eigh-
ty-two point five six",Template3_Instance107.json
"BILL_TO:
Albert Anderson
8691 Whitney Rapids
South Melindaside, ME 88779 US
Tel:+(527)619-5909
Email:kaitlynmcclain@example.net
Site:https://www.robinson.biz/",USD,Invoice Date: 10-Apr-2001,2001-04-10,,Due Date : 27-Sep-1997,1997-09-27,[],Thank you for your business!,INVOICE # INV23831640,PO Number :66,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (7.00%):  49.56 $,49.56,COMMERCIAL INVOICE,TOTAL : 734.07 $,734.07,"Total in words:  seven hundred and thirt-
y-four point zero seven",Template3_Instance108.json
"BILL_TO:
William Yoder
7467 Jeanne Lodge
New Carl, NH 52963 US
Tel:+(017)746-0195
Email:eserrano@example.org
Site:https://martin-moore.com/",USD,Invoice Date: 20-Mar-2022,2022-03-20,,Due Date : 05-Dec-2000,2000-12-05,[],Thank you for your business!,INVOICE ID INV10376325,PO Number :71,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.84%):  50.88 USD,50.88,COMMERCIAL INVOICE,TOTAL : 782.76 USD,782.76,"Total in words:  seven hundred and eigh-
ty-two point seven six",Template3_Instance109.json
"BILL_TO:
Sean Gomez
1690 Jerry Green
East Andreaside, IL 32993 US
Tel:+(892)882-6723
Email:katelyn62@example.net
Site:https://wiggins-davis.com/",USD,Invoice Date: 08-Mar-2016,2016-03-08,,Due Date : 13-Jul-2022,2022-07-13,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 3Y8M6d-749,PO Number :39,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.07%):  24.44 USD,24.44,TAX INVOICE,TOTAL : 485.61 USD,485.61,"Total in words:  four hundred and eigh-
ty-five point six one",Template3_Instance11.json
"BILL_TO:
Peter Lewis
940 Leslie Tunnel
Moralesmouth, CT 55149 US
Tel:+(442)371-6829
Email:shannoncollins@example.org
Site:http://www.moore.com/",USD,Invoice Date: 07-Jul-2010,2010-07-07,,Due Date : 27-Sep-2016,2016-09-27,[],Thank you for your business!,Invoice number 5Y3M2d-246,PO Number :46,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.25%):  17.13 USD,17.13,TAX INVOICE,TOTAL : 277.64 USD,277.64,"Total in words:  two hundred and sevent-
y-seven point six four",Template3_Instance110.json
"BILL_TO:
Emily Gardner
2062 Jessica Parkways
Lake Sarahchester, NY 50910 US
Tel:+(951)524-2251
Email:alejandra20@example.net
Site:https://www.miller-acosta.com/",EUR,Invoice Date: 16-Sep-2008,2008-09-16,,Due Date : 15-May-2021,2021-05-15,[],Note:Total payment due in 14 days.,INVOICE ID INV20778807,PO Number :55,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.18%):  1.38 EUR,1.38,INVOICE,TOTAL : 33.58 EUR,33.58,"Total in words:  thirty-three p-
oint five eight",Template3_Instance111.json
"BILL_TO:
Nichole Gill
442 Poole Spring
North Matthew, WI 58300 US
Tel:+(926)248-9410
Email:browncesar@example.com
Site:http://www.james.com/",EUR,Date: 24-Aug-1998,1998-08-24,,Due Date : 30-Oct-2013,2013-10-30,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # 2243-832,PO Number :61,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.96%):  17.17 EUR,17.17,INVOICE,TOTAL : 348.35 EUR,348.35,"Total in words:  three hundred and forty-
-eight point three five",Template3_Instance112.json
"BILL_TO:
George Campbell
033 Kelly Shoal Suite 318
Port Ericfort, ND 45923 US
Tel:+(813)032-3888
Email:masonmiller@example.net
Site:https://www.brown-smith.com/",USD,Date: 29-Jan-2019,2019-01-29,,Due Date : 09-Jun-2022,2022-06-09,[],Thank you for your business!,INVOICE # INV09933140,PO Number :26,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.28%):  14.71 $,14.71,TAX INVOICE,TOTAL : 280.45 $,280.45,"Total in words:  two hundred and eig-
hty point four five",Template3_Instance113.json
"BILL_TO:
Christopher White
537 Anna Stream Apt. 280
West Debrastad, PR 28649 US
Tel:+(913)647-2666
Email:bakerlaura@example.net
Site:https://www.cunningham.biz/",USD,Date: 13-Jul-2001,2001-07-13,,Due Date : 08-Sep-2020,2020-09-08,[],"Note:
This order is shipped through blue dart courier",Invoice number INV/38-74/455,PO Number :03,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.79%):  55.45 USD,55.45,TAX INVOICE,TOTAL : 1179.52 USD,9.52,"Total in words:  one thousand, one hundred an-
d seventy-nine point five two",Template3_Instance114.json
"BILL_TO:
Ryan Zimmerman
4410 Jesus Stream
Mitchellview, NH 43863 US
Tel:+(803)187-8891
Email:gavin62@example.net
Site:https://www.berry.com/",EUR,Date: 24-Aug-2022,2022-08-24,,Due Date : 02-Apr-2007,2007-04-02,[],Note:Total payment due in 14 days.,INVOICE # INV/93-02/347,PO Number :90,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.98%):  33.88 EUR,33.88,TAX INVOICE,TOTAL : 574.99 EUR,574.99,"Total in words:  five hundred and seven-
ty-four point nine nine",Template3_Instance115.json
"BILL_TO:
Katherine Gordon
12799 Lopez Burgs Apt. 449
Yuside, SD 35233 US
Tel:+(008)734-6511
Email:trevor54@example.org
Site:http://le-lara.com/",EUR,Invoice Date: 24-Jun-2004,2004-06-24,,Due Date : 09-Jan-2023,2023-01-09,[],Thank you for your business!,INVOICE ID INV/19-44/244,PO Number :69,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.84%):  22.01 EUR,22.01,COMMERCIAL INVOICE,TOTAL : 569.61 EUR,569.61,"Total in words:  five hundred and six-
ty-nine point six one",Template3_Instance116.json
"BILL_TO:
Adam Howard
2940 Catherine Wall Suite 872
East Aaronland, IN 99636 US
Tel:+(251)417-4186
Email:kristieluna@example.net
Site:https://www.hendrix.com/",EUR,Invoice Date: 22-Sep-2018,2018-09-22,,Due Date : 17-Feb-2014,2014-02-17,[],"Note:
This order is shipped through blue dart courier",Invoice number 2Y6M9d-658,PO Number :87,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.39%):  44.59 EUR,44.59,INVOICE,TOTAL : 1030.13 EUR,0.13,"Total in words:  one thousand and th-
irty point one three",Template3_Instance117.json
"BILL_TO:
Daniel Lee
3782 Lisa Plaza Apt. 990
Lake Albert, OR 52264 US
Tel:+(481)476-7775
Email:muellerjacob@example.org
Site:http://meza.com/",EUR,Invoice Date: 20-Jun-2021,2021-06-20,,Due Date : 11-Feb-2000,2000-02-11,[],"Note:
This order is shipped through blue dart courier",INVOICE ID 6Y7M8d-027,PO Number :63,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.89%):  65.35 EUR,65.35,INVOICE,TOTAL : 973.25 EUR,973.25,"Total in words:  nine hundred and seven-
ty-three point two five",Template3_Instance118.json
"BILL_TO:
Brad Humphrey
12754 Emily Path
Port Catherine, LA 72378 US
Tel:+(638)814-7554
Email:crystal35@example.net
Site:https://green.info/",USD,Date: 08-Jul-2009,2009-07-08,,Due Date : 11-May-2009,2009-05-11,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # INV/27-01/542,PO Number :24,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.52%):  63.83 $,63.83,TAX INVOICE,TOTAL : 1176.05 $,6.05,"Total in words:  one thousand, one hundred an-
d seventy-six point zero five",Template3_Instance119.json
"BILL_TO:
Joseph Kennedy
69526 Annette Tunnel
New Jennifer, CA 04412 US
Tel:+(362)490-9411
Email:ynicholson@example.com
Site:https://murray.net/",USD,Invoice Date: 20-Apr-2007,2007-04-20,,Due Date : 14-Jun-2011,2011-06-14,[],Note:Total payment due in 14 days.,INVOICE ID 7620-634,PO Number :14,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.97%):  23.69 $,23.69,TAX INVOICE,TOTAL : 489.97 $,489.97,"Total in words:  four hundred and eight-
y-nine point nine seven",Template3_Instance12.json
"BILL_TO:
Darrell Burgess
380 Anderson Rapid
West Catherinestad, MT 27841 US
Tel:+(258)623-2165
Email:gracegilbert@example.net
Site:http://www.johnson-fitzpatrick.biz/",USD,Date: 08-Aug-1996,1996-08-08,,Due Date : 30-Sep-2021,2021-09-30,[],Thank you for choosing us!,Invoice number 6Y8M4d-583,PO Number :21,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.25%):  5.88 $,5.88,COMMERCIAL INVOICE,TOTAL : 179.40 $,179.4,"Total in words:  one hundred and sev-
enty-nine point four",Template3_Instance120.json
"BILL_TO:
Tara Barnes
3732 Wright Ports
Ashleyport, VT 08388 US
Tel:+(936)717-9785
Email:joshua03@example.com
Site:https://hodges.com/",USD,Invoice Date: 01-Jun-2012,2012-06-01,,Due Date : 22-Mar-1998,1998-03-22,[],Thank you for your business!,INVOICE ID 2Y8M8d-056,PO Number :70,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.51%):  56.14 USD,56.14,INVOICE,TOTAL : 902.62 USD,902.62,"Total in words:  nine hundred and -
two point six two",Template3_Instance121.json
"BILL_TO:
Dana Mills
27019 Kelley Fields
Mitchellview, DE 11665 US
Tel:+(249)823-9384
Email:rwilson@example.org
Site:http://www.fox.com/",EUR,Invoice Date: 20-Aug-2009,2009-08-20,,Due Date : 29-Sep-1996,1996-09-29,[],Thank you for your business!,INVOICE # 5643-524,PO Number :14,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.92%):  40.94 EUR,40.94,COMMERCIAL INVOICE,TOTAL : 623.65 EUR,623.65,"Total in words:  six hundred and twent-
y-three point six five",Template3_Instance122.json
"BILL_TO:
Patricia Henderson
520 Vega Court
Bullockstad, MA 53695 US
Tel:+(485)861-2180
Email:amandawu@example.com
Site:https://www.martinez.net/",EUR,Date: 10-Jul-2020,2020-07-10,,Due Date : 13-Jan-2006,2006-01-13,[],Thank you for your business!,Invoice number INV/92-98/269,PO Number :80,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.83%):  27.52 EUR,27.52,COMMERCIAL INVOICE,TOTAL : 724.47 EUR,724.47,"Total in words:  seven hundred and twent-
y-four point four seven",Template3_Instance123.json
"BILL_TO:
Christina Russell
5127 Erickson Extensions
Transide, MD 93840 US
Tel:+(225)279-7953
Email:walkersarah@example.com
Site:http://www.johnson-strickland.com/",EUR,Invoice Date: 30-Nov-2005,2005-11-30,,Due Date : 12-Feb-2019,2019-02-12,[],Thank you for your business!,INVOICE # INV/79-28/285,PO Number :17,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.90%):  9.18 EUR,9.18,INVOICE,TOTAL : 194.19 EUR,194.19,"Total in words:  one hundred and ninet-
y-four point one nine",Template3_Instance124.json
"BILL_TO:
David Jones
758 Richard Dale
Richardsonfort, VA 44477 US
Tel:+(242)471-6780
Email:fmahoney@example.org
Site:https://smith.org/",USD,Invoice Date: 31-Aug-2018,2018-08-31,,Due Date : 22-May-2019,2019-05-22,[],Thank you for your business!,INVOICE ID 6Y4M4d-976,PO Number :52,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.24%):  9.43 USD,9.43,TAX INVOICE,TOTAL : 187.31 USD,187.31,"Total in words:  one hundred and eighty-
-seven point three one",Template3_Instance125.json
"BILL_TO:
Thomas Hansen
6255 James Pine Suite 381
Kathleenchester, TX 47619 US
Tel:+(165)119-8506
Email:robert13@example.com
Site:http://brown-carlson.com/",USD,Invoice Date: 06-Sep-2022,2022-09-06,,Due Date : 02-Aug-2010,2010-08-02,[],"Note:
This order is shipped through blue dart courier",INVOICE ID INV/82-77/650,PO Number :02,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.66%):  84.47 $,84.47,TAX INVOICE,TOTAL : 1307.70 $,7.7,"Total in words:  one thousand, three hund-
red and seven point seven",Template3_Instance126.json
"BILL_TO:
Elizabeth Krueger DDS
85782 Kelly Tunnel Apt. 432
East James, MD 83156 US
Tel:+(689)129-1566
Email:mccalldavid@example.org
Site:http://www.lindsey.com/",USD,Date: 14-Sep-2005,2005-09-14,,Due Date : 22-Apr-2021,2021-04-22,[],Thank you for choosing us!,INVOICE # 7Y6M5d-415,PO Number :81,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.00%):  3.27 USD,3.27,INVOICE,TOTAL : 67.39 USD,67.39,"Total in words:  sixty-seven po-
int three nine",Template3_Instance127.json
"BILL_TO:
Brandon Vaughn
623 Russell Mission Suite 255
South Erneststad, OR 13527 US
Tel:+(696)758-4267
Email:rossbonnie@example.com
Site:https://payne.biz/",EUR,Date: 10-Jan-2008,2008-01-10,,Due Date : 25-Nov-2007,2007-11-25,[],Note:Total payment due in 14 days.,INVOICE # INV/99-67/303,PO Number :13,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.74%):  25.93 EUR,25.93,INVOICE,TOTAL : 553.45 EUR,553.45,"Total in words:  five hundred and fifty-
-three point four five",Template3_Instance128.json
"BILL_TO:
Michael Best MD
60779 Moon Lights
Ryantown, GU 03439 US
Tel:+(898)304-2520
Email:lsmith@example.com
Site:https://www.jones.com/",USD,Date: 06-Nov-2000,2000-11-06,,Due Date : 18-Mar-1994,1994-03-18,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE ID INV/89-25/792,PO Number :61,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.91%):  52.33 USD,52.33,TAX INVOICE,TOTAL : 798.89 USD,798.89,"Total in words:  seven hundred and ninet-
y-eight point eight nine",Template3_Instance129.json
"BILL_TO:
Dominique Williams DDS
264 Susan Hills Apt. 493
Lisaland, NM 59280 US
Tel:+(337)952-4338
Email:rkline@example.com
Site:http://smith.com/",USD,Date: 24-Feb-2008,2008-02-24,,Due Date : 18-Jul-2010,2010-07-18,[],Note:Total payment due in 14 days.,Invoice number 7Y5M6d-340,PO Number :67,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.43%):  24.15 $,24.15,INVOICE,TOTAL : 702.98 $,702.98,"Total in words:  seven hundred and t-
wo point nine eight",Template3_Instance13.json
"BILL_TO:
Samantha Cole
56405 Joshua Garden Apt. 147
South Michelleburgh, VT 31405 US
Tel:+(191)960-6051
Email:danielspamela@example.org
Site:http://www.ashley-castro.info/",USD,Invoice Date: 23-Jul-2021,2021-07-23,,Due Date : 13-Oct-2007,2007-10-13,[],Thank you for your business!,INVOICE ID 5157-660,PO Number :50,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.11%):  40.54 $,40.54,COMMERCIAL INVOICE,TOTAL : 681.34 $,681.34,"Total in words:  six hundred and eight-
y-one point three four",Template3_Instance130.json
"BILL_TO:
Gary Dixon
3864 Jordan Mission Suite 164
Kennethport, ND 97057 US
Tel:+(752)940-0858
Email:ichavez@example.org
Site:https://www.calderon.com/",USD,Invoice Date: 04-Sep-2006,2006-09-04,,Due Date : 21-Mar-2001,2001-03-21,[],Thank you for choosing us!,INVOICE ID INV/11-57/843,PO Number :20,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.19%):  42.02 USD,42.02,TAX INVOICE,TOTAL : 834.98 USD,834.98,"Total in words:  eight hundred and thirt-
y-four point nine eight",Template3_Instance131.json
"BILL_TO:
Steven Wise
77455 Davidson Station
Hooverview, ID 11393 US
Tel:+(727)921-8640
Email:kcross@example.net
Site:https://nelson-gonzalez.org/",EUR,Date: 06-Jul-1998,1998-07-06,,Due Date : 25-Aug-2000,2000-08-25,[],Thank you for your business!,INVOICE # 8Y6M2d-347,PO Number :31,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.58%):  15.16 EUR,15.16,COMMERCIAL INVOICE,TOTAL : 280.61 EUR,280.61,"Total in words:  two hundred and ei-
ghty point six one",Template3_Instance132.json
"BILL_TO:
Courtney Davis
126 Baker Causeway
Stevenborough, FL 64812 US
Tel:+(078)697-4032
Email:tammy90@example.net
Site:http://www.bush.biz/",USD,Date: 14-Oct-2008,2008-10-14,,Due Date : 25-Mar-2022,2022-03-25,[],Thank you for your business!,INVOICE ID INV29176771,PO Number :24,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.79%):  12.56 $,12.56,COMMERCIAL INVOICE,TOTAL : 270.88 $,270.88,"Total in words:  two hundred and seve-
nty point eight eight",Template3_Instance133.json
"BILL_TO:
Terri Jones
34369 Erica Inlet Suite 187
Cartermouth, SD 03138 US
Tel:+(087)143-6116
Email:preston05@example.com
Site:https://williams.com/",EUR,Date: 19-Jun-2005,2005-06-19,,Due Date : 07-Mar-2013,2013-03-07,[],"Note:
This order is shipped through blue dart courier",INVOICE # 1322-411,PO Number :35,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.72%):  24.86 EUR,24.86,INVOICE,TOTAL : 383.23 EUR,383.23,"Total in words:  three hundred and eight-
y-three point two three",Template3_Instance134.json
"BILL_TO:
Jacob Miller
98956 Bell Route
South Kathleen, ID 03831 US
Tel:+(231)419-7246
Email:dawnpaul@example.org
Site:http://www.wang.com/",USD,Invoice Date: 17-Dec-2001,2001-12-17,,Due Date : 20-Jul-2021,2021-07-20,[],Thank you for choosing us!,INVOICE ID 5536-962,PO Number :52,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.59%):  48.20 USD,48.2,TAX INVOICE,TOTAL : 1085.05 USD,5.05,"Total in words:  one thousand and eight-
y-five point zero five",Template3_Instance135.json
"BILL_TO:
Joseph Gibbs
669 Murillo Roads
Lake Lori, MH 30338 US
Tel:+(281)728-7817
Email:smithamy@example.com
Site:http://holmes.net/",USD,Invoice Date: 25-May-2000,2000-05-25,,Due Date : 07-Jan-2006,2006-01-07,[],Note:Total payment due in 14 days.,Invoice number 0545-920,PO Number :42,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.29%):  56.69 USD,56.69,TAX INVOICE,TOTAL : 914.71 USD,914.71,"Total in words:  nine hundred and fou-
rteen point seven one",Template3_Instance136.json
