BUYER,BUYER_addr_line1,BUYER_addr_line2,BUYER_city_state_postal_country,BUYER_email,BUYER_name,BUYER_raw,BUYER_site,BUYER_tel,CURRENCY,DATE,DATE_NORM,DISCOUNT_AMOUNT,INVOICE_INFO,NOTE,NUMBER,PO_NUMBER,SELLER_ADDRESS,SELLER_EMAIL,SELLER_NAME,SELLER_addr_line1,SELLER_addr_line2,SELLER_city_state_postal_country,SELLER_email,SELLER_name,SELLER_raw,SELLER_site,SELLER_tel,SUB_TOTAL,SUB_TOTAL_AMOUNT,TABLE,TAX,TAX_AMOUNT,TOTAL,TOTAL_AMOUNT,TOTAL_WORDS,_source_file
"Bill to:Colton Santiago
62264 Anita Throughway
New Johnchester, OR 97583 US
Tel:+(709)980-2200
Email:burkematthew@example.com
Site:http://carson.com/",62264 Anita Throughway,"New Johnchester, OR 97583 US",,burkematthew@example.com,Bill to:Colton Santiago,"Bill to:Colton Santiago | 62264 Anita Throughway | New Johnchester, OR 97583 US | Tel:+(709)980-2200 | Email:burkematthew@example.com | Site:http://carson.com/",http://carson.com/,+(709)980-2200,EUR,Invoice Date: 17-Feb-1998,1998-02-17,,[],Thank you for choosing us!,Invoice number 3Y7M7d-728,PO Number :25,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 471.28  EUR,471.28,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.29%):  20.21 EUR,20.21,BALANCE DUE : 473.44 EUR,473.44,"Total in words:  four hundred and sevent-
y-three point four four",Template5_Instance107.json
"Bill to:Jason Hurst
63567 Janice Trace Apt. 298
West Michaelbury, GA 26918 US
Tel:+(773)807-3019
Email:hthomas@example.org
Site:https://ramirez.com/",63567 Janice Trace Apt. 298,"West Michaelbury, GA 26918 US",,hthomas@example.org,Bill to:Jason Hurst,"Bill to:Jason Hurst | 63567 Janice Trace Apt. 298 | West Michaelbury, GA 26918 US | Tel:+(773)807-3019 | Email:hthomas@example.org | Site:https://ramirez.com/",https://ramirez.com/,+(773)807-3019,USD,Date: 19-Apr-2020,2020-04-19,,[],"Note:
This order is shipped through blue dart courier",INVOICE ID INV/55-79/951,PO Number :91,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 764.84  USD,764.84,"[[{'bbox': [[7.0, 474.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.24%):  32.44 USD,32.44,BALANCE DUE : 762.86 USD,762.86,"Total in words:  seven hundred and six-
ty-two point eight six",Template5_Instance108.json
"Buyer :Amanda Smith
216 Tracy Extensions Apt. 357
Jacksonton, VT 38328 US
Tel:+(434)261-8803
Email:lisabowen@example.com
Site:https://www.david.com/",216 Tracy Extensions Apt. 357,"Jacksonton, VT 38328 US",,lisabowen@example.com,Buyer :Amanda Smith,"Buyer :Amanda Smith | 216 Tracy Extensions Apt. 357 | Jacksonton, VT 38328 US | Tel:+(434)261-8803 | Email:lisabowen@example.com | Site:https://www.david.com/",https://www.david.com/,+(434)261-8803,USD,Date: 08-Nov-2008,2008-11-08,,[],"Note:
This order is shipped through blue dart courier",INVOICE # 8Y9M2d-586,PO Number :18,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 240.45  USD,240.45,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (5.37%):  12.90 USD,12.9,BALANCE DUE : 243.73 USD,243.73,"Total in words:  two hundred and forty--
three point seven three",Template5_Instance109.json
"Bill to:Erica Jordan
9592 Higgins Via
New Kaylamouth, GU 43383 US
Tel:+(139)348-1623
Email:emilyperez@example.org
Site:https://cantu-montgomery.com/",9592 Higgins Via,"New Kaylamouth, GU 43383 US",,emilyperez@example.org,Bill to:Erica Jordan,"Bill to:Erica Jordan | 9592 Higgins Via | New Kaylamouth, GU 43383 US | Tel:+(139)348-1623 | Email:emilyperez@example.org | Site:https://cantu-montgomery.com/",https://cantu-montgomery.com/,+(139)348-1623,EUR,Invoice Date: 26-Apr-2005,2005-04-26,,[],Note:Total payment due in 14 days.,INVOICE # 9Y8M6d-036,PO Number :47,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 320.74  EUR,320.74,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.85%):  12.35 EUR,12.35,BALANCE DUE : 318.40 EUR,318.4,"Total in words:  three hundred and -
eighteen point four",Template5_Instance11.json
"Bill to:Hector Brown
70649 Stanley Plains
Deckertown, NJ 30473 US
Tel:+(249)141-5617
Email:cruzleslie@example.com
Site:https://collins-berry.com/",70649 Stanley Plains,"Deckertown, NJ 30473 US",,cruzleslie@example.com,Bill to:Hector Brown,"Bill to:Hector Brown | 70649 Stanley Plains | Deckertown, NJ 30473 US | Tel:+(249)141-5617 | Email:cruzleslie@example.com | Site:https://collins-berry.com/",https://collins-berry.com/,+(249)141-5617,EUR,Invoice Date: 20-Jan-2017,2017-01-20,,[],"Note:
This order is shipped through blue dart courier",INVOICE # INV/67-71/814,PO Number :17,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 236.47  EUR,236.47,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.58%):  10.84 EUR,10.84,BALANCE DUE : 241.82 EUR,241.82,"Total in words:  two hundred and fort-
y-one point eight two",Template5_Instance110.json
"Buyer :Valerie Jones
037 Christopher Extension
Lake Toddburgh, NY 71553 US
Tel:+(565)173-0448
Email:colemanpaul@example.org
Site:https://jones.com/",037 Christopher Extension,"Lake Toddburgh, NY 71553 US",,colemanpaul@example.org,Buyer :Valerie Jones,"Buyer :Valerie Jones | 037 Christopher Extension | Lake Toddburgh, NY 71553 US | Tel:+(565)173-0448 | Email:colemanpaul@example.org | Site:https://jones.com/",https://jones.com/,+(565)173-0448,EUR,Invoice Date: 27-Dec-2019,2019-12-27,,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # INV/31-33/016,PO Number :82,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 408.49  EUR,408.49,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.48%):  18.28 EUR,18.28,BALANCE DUE : 421.21 EUR,421.21,"Total in words:  four hundred and twe-
nty-one point two one",Template5_Instance111.json
"Bill to:Bradley Estrada
127 Susan Passage Suite 449
Port Markport, ID 58301 US
Tel:+(554)117-9849
Email:whitekim@example.com
Site:http://simon.info/",127 Susan Passage Suite 449,"Port Markport, ID 58301 US",,whitekim@example.com,Bill to:Bradley Estrada,"Bill to:Bradley Estrada | 127 Susan Passage Suite 449 | Port Markport, ID 58301 US | Tel:+(554)117-9849 | Email:whitekim@example.com | Site:http://simon.info/",http://simon.info/,+(554)117-9849,USD,Invoice Date: 25-Jun-2013,2013-06-25,,[],Note:Total payment due in 14 days.,INVOICE ID INV37855279,PO Number :05,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 680.79  $,680.79,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.14%):  28.16 $,28.16,BALANCE DUE : 701.87 $,701.87,"Total in words:  seven hundred and o-
ne point eight seven",Template5_Instance112.json
"Buyer :Matthew Cervantes
615 Dixon Hollow
North Carrie, RI 61246 US
Tel:+(547)577-5081
Email:thomas70@example.net
Site:http://www.flores.com/",615 Dixon Hollow,"North Carrie, RI 61246 US",,thomas70@example.net,Buyer :Matthew Cervantes,"Buyer :Matthew Cervantes | 615 Dixon Hollow | North Carrie, RI 61246 US | Tel:+(547)577-5081 | Email:thomas70@example.net | Site:http://www.flores.com/",http://www.flores.com/,+(547)577-5081,USD,Date: 07-Mar-2008,2008-03-07,,[],Thank you for choosing us!,Invoice number INV/96-86/692,PO Number :55,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 778.92  USD,778.92,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.00%):  46.76 USD,46.76,BALANCE DUE : 816.02 USD,816.02,"Total in words:  eight hundred and si-
xteen point zero two",Template5_Instance113.json
"Bill to:Amanda Horton
0524 Rhonda Villages
South Bradleyview, LA 88315 US
Tel:+(779)817-4007
Email:brewerrichard@example.net
Site:https://carter.com/",0524 Rhonda Villages,"South Bradleyview, LA 88315 US",,brewerrichard@example.net,Bill to:Amanda Horton,"Bill to:Amanda Horton | 0524 Rhonda Villages | South Bradleyview, LA 88315 US | Tel:+(779)817-4007 | Email:brewerrichard@example.net | Site:https://carter.com/",https://carter.com/,+(779)817-4007,EUR,Date: 09-Mar-2020,2020-03-09,,[],Thank you for your business!,INVOICE # INV/88-12/170,PO Number :87,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 1047.38  EUR,7.38,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.40%):  66.99 EUR,66.99,BALANCE DUE : 1076.77 EUR,6.77,"Total in words:  one thousand and sevent-
y-six point seven seven",Template5_Instance114.json
"Bill to:Amanda Thompson
94449 Danielle Pass Apt. 303
Gordontown, TX 63220 US
Tel:+(331)224-9612
Email:geraldwilliams@example.org
Site:https://velasquez.com/",94449 Danielle Pass Apt. 303,"Gordontown, TX 63220 US",,geraldwilliams@example.org,Bill to:Amanda Thompson,"Bill to:Amanda Thompson | 94449 Danielle Pass Apt. 303 | Gordontown, TX 63220 US | Tel:+(331)224-9612 | Email:geraldwilliams@example.org | Site:https://velasquez.com/",https://velasquez.com/,+(331)224-9612,EUR,Invoice Date: 16-Jul-2017,2017-07-16,,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",Invoice number INV41733760,PO Number :14,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 719.48  EUR,719.48,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.33%):  45.57 EUR,45.57,BALANCE DUE : 752.03 EUR,752.03,"Total in words:  seven hundred and fift-
y-two point zero three",Template5_Instance115.json
"Buyer :Joseph Klein
0557 Norman Alley Suite 225
Lake Rachel, PR 13216 US
Tel:+(203)196-4600
Email:yjohnson@example.org
Site:http://www.guerrero.com/",0557 Norman Alley Suite 225,"Lake Rachel, PR 13216 US",,yjohnson@example.org,Buyer :Joseph Klein,"Buyer :Joseph Klein | 0557 Norman Alley Suite 225 | Lake Rachel, PR 13216 US | Tel:+(203)196-4600 | Email:yjohnson@example.org | Site:http://www.guerrero.com/",http://www.guerrero.com/,+(203)196-4600,EUR,Date: 23-Oct-1997,1997-10-23,,[],"Note:
This order is shipped through blue dart courier",INVOICE # 5Y8M5d-143,PO Number :16,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 155.90  EUR,155.9,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.75%):  5.85 EUR,5.85,BALANCE DUE : 159.01 EUR,159.01,"Total in words:  one hundred and fift-
y-nine point zero one",Template5_Instance116.json
"Bill to:Jennifer Hall
09325 Gloria Mount Apt. 343
Rojasstad, WA 14443 US
Tel:+(177)701-3152
Email:jonathonsanchez@example.com
Site:https://richmond.com/",09325 Gloria Mount Apt. 343,"Rojasstad, WA 14443 US",,jonathonsanchez@example.com,Bill to:Jennifer Hall,"Bill to:Jennifer Hall | 09325 Gloria Mount Apt. 343 | Rojasstad, WA 14443 US | Tel:+(177)701-3152 | Email:jonathonsanchez@example.com | Site:https://richmond.com/",https://richmond.com/,+(177)701-3152,EUR,Invoice Date: 15-Nov-2013,2013-11-15,,[],Note:Total payment due in 14 days.,INVOICE ID 6598-797,PO Number :21,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 768.66  EUR,768.66,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (5.36%):  41.19 EUR,41.19,BALANCE DUE : 796.32 EUR,796.32,"Total in words:  seven hundred and nine-
ty-six point three two",Template5_Instance117.json
"Bill to:Penny Clark
713 Michael Spring
Nicolemouth, HI 20842 US
Tel:+(762)445-6509
Email:annjacobs@example.net
Site:https://marshall.com/",713 Michael Spring,"Nicolemouth, HI 20842 US",,annjacobs@example.net,Bill to:Penny Clark,"Bill to:Penny Clark | 713 Michael Spring | Nicolemouth, HI 20842 US | Tel:+(762)445-6509 | Email:annjacobs@example.net | Site:https://marshall.com/",https://marshall.com/,+(762)445-6509,USD,Date: 07-Nov-1997,1997-11-07,,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",Invoice number 2079-868,PO Number :42,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 1084.82  $,4.82,"[[{'bbox': [[7.0, 474.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.36%):  47.31 $,47.31,BALANCE DUE : 1112.39 $,2.39,"Total in words:  one thousand, one hundred -
and twelve point three nine",Template5_Instance118.json
