BUYER,BUYER_addr_line1,BUYER_addr_line2,BUYER_city_state_postal_country,BUYER_email,BUYER_name,BUYER_raw,BUYER_site,BUYER_tel,CURRENCY,DATE,DATE_NORM,DISCOUNT_AMOUNT,GST(7%),GSTIN,INVOICE_INFO,NUMBER,SELLER_ADDRESS,SELLER_NAME,SELLER_addr_line1,SELLER_addr_line2,SELLER_city_state_postal_country,SELLER_email,SELLER_name,SELLER_raw,SELLER_site,SELLER_tel,SUB_TOTAL,SUB_TOTAL_AMOUNT,TABLE,TAX_AMOUNT,TITLE,TOTAL,TOTAL_AMOUNT,_source_file
"Bill to:Michael Wilkins
64283 Chavez Circle
West Laura, MS 20638 US
Tel:+(626)466-0548
Email:jill35@example.net
Site:http://bishop.com/",64283 Chavez Circle,"West Laura, MS 20638 US",,jill35@example.net,Bill to:Michael Wilkins,"Bill to:Michael Wilkins | 64283 Chavez Circle | West Laura, MS 20638 US | Tel:+(626)466-0548 | Email:jill35@example.net | Site:http://bishop.com/",http://bishop.com/,+(626)466-0548,USD,Invoice Date: 18-Jan-2002,2002-01-18,,GST(7%) : 60.29,GSTIN: 33123456789102Z1,[],INVOICE # INV/83-58/218,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 861.29  USD,861.29,"[[{'bbox': [[20.0, 354.8898], [570.0, 282.8898]]}]]",,INVOICE,TOTAL : 874.34 USD,874.34,Template2_Instance107.json
"Buyer :Julia Delgado
653 Miller Oval Apt. 148
Wigginschester, MD 81962 US
Tel:+(703)604-5400
Email:vrodriguez@example.org
Site:http://www.meyer-cunningham.com/",653 Miller Oval Apt. 148,"Wigginschester, MD 81962 US",,vrodriguez@example.org,Buyer :Julia Delgado,"Buyer :Julia Delgado | 653 Miller Oval Apt. 148 | Wigginschester, MD 81962 US | Tel:+(703)604-5400 | Email:vrodriguez@example.org | Site:http://www.meyer-cunningham.com/",http://www.meyer-cunningham.com/,+(703)604-5400,USD,Date: 17-Jun-2013,2013-06-17,,GST(7%) : 26.77,GSTIN: 33123456789102Z1,[],INVOICE ID INV89073127,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 382.50  USD,382.5,"[[{'bbox': [[20.0, 354.8898], [570.0, 282.8898]]}]]",,TAX INVOICE,TOTAL : 388.72 USD,388.72,Template2_Instance108.json
"Buyer :Shaun Marshall
835 Arthur Common Apt. 382
New Sabrinafort, PA 82120 US
Tel:+(197)671-9955
Email:stonerichard@example.com
Site:https://www.banks-velez.com/",835 Arthur Common Apt. 382,"New Sabrinafort, PA 82120 US",,stonerichard@example.com,Buyer :Shaun Marshall,"Buyer :Shaun Marshall | 835 Arthur Common Apt. 382 | New Sabrinafort, PA 82120 US | Tel:+(197)671-9955 | Email:stonerichard@example.com | Site:https://www.banks-velez.com/",https://www.banks-velez.com/,+(197)671-9955,USD,Date: 25-Dec-2018,2018-12-25,,GST(7%) : 81.38,GSTIN: 33123456789102Z1,[],Invoice number INV16849390,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 1162.55  $,2.55,"[[{'bbox': [[20.0, 372.8898], [570.0, 282.8898]]}]]",,TAX INVOICE,TOTAL : 1204.13 $,4.13,Template2_Instance109.json
"Buyer :April Sherman
574 Michelle Haven
Castillobury, MT 32771 US
Tel:+(698)845-1268
Email:gregoryhamilton@example.org
Site:https://www.tucker.org/",574 Michelle Haven,"Castillobury, MT 32771 US",,gregoryhamilton@example.org,Buyer :April Sherman,"Buyer :April Sherman | 574 Michelle Haven | Castillobury, MT 32771 US | Tel:+(698)845-1268 | Email:gregoryhamilton@example.org | Site:https://www.tucker.org/",https://www.tucker.org/,+(698)845-1268,EUR,Invoice Date: 13-Nov-1999,1999-11-13,,GST(7%) : 23.84,GSTIN: 33123456789102Z1,[],Invoice number 6508-985,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 340.59  EUR,340.59,"[[{'bbox': [[20.0, 336.8898], [570.0, 282.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 357.49 EUR,357.49,Template2_Instance11.json
"Bill to:James Fernandez
7382 Ferguson Plaza
New Samantha, MN 36762 US
Tel:+(316)470-7210
Email:williamssean@example.com
Site:https://www.turner.com/",7382 Ferguson Plaza,"New Samantha, MN 36762 US",,williamssean@example.com,Bill to:James Fernandez,"Bill to:James Fernandez | 7382 Ferguson Plaza | New Samantha, MN 36762 US | Tel:+(316)470-7210 | Email:williamssean@example.com | Site:https://www.turner.com/",https://www.turner.com/,+(316)470-7210,USD,Date: 15-Oct-1996,1996-10-15,,GST(7%) : 47.72,GSTIN: 33123456789102Z1,[],INVOICE ID INV/41-08/772,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 681.78  USD,681.78,"[[{'bbox': [[20.0, 354.8898], [570.0, 282.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 702.66 USD,702.66,Template2_Instance110.json
"Bill to:Kristin Warren
21005 Cruz Stravenue Suite 158
North Sandra, PA 49514 US
Tel:+(517)411-9094
Email:upatton@example.net
Site:https://www.leon.com/",21005 Cruz Stravenue Suite 158,"North Sandra, PA 49514 US",,upatton@example.net,Bill to:Kristin Warren,"Bill to:Kristin Warren | 21005 Cruz Stravenue Suite 158 | North Sandra, PA 49514 US | Tel:+(517)411-9094 | Email:upatton@example.net | Site:https://www.leon.com/",https://www.leon.com/,+(517)411-9094,USD,Date: 02-Jul-2008,2008-07-02,,GST(7%) : 10.85,GSTIN: 33123456789102Z1,[],Invoice number 1073-132,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 155.00  $,155.0,"[[{'bbox': [[20.0, 336.8898], [570.0, 282.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 160.46 $,160.46,Template2_Instance111.json
"Bill to:Casey Price
8828 Christian Vista
Carolynchester, NH 46194 US
Tel:+(577)243-4460
Email:olivia74@example.org
Site:http://www.ryan.com/",8828 Christian Vista,"Carolynchester, NH 46194 US",,olivia74@example.org,Bill to:Casey Price,"Bill to:Casey Price | 8828 Christian Vista | Carolynchester, NH 46194 US | Tel:+(577)243-4460 | Email:olivia74@example.org | Site:http://www.ryan.com/",http://www.ryan.com/,+(577)243-4460,EUR,Date: 09-Dec-2020,2020-12-09,,GST(7%) : 32.62,GSTIN: 33123456789102Z1,[],Invoice number 7Y8M6d-266,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 465.94  EUR,465.94,"[[{'bbox': [[20.0, 336.8898], [570.0, 282.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 469.42 EUR,469.42,Template2_Instance112.json
"Buyer :Scott Griffin
87847 Ponce Street
Port Andreafort, VT 19910 US
Tel:+(079)419-2613
Email:michaelbryant@example.com
Site:https://www.wilson.com/",87847 Ponce Street,"Port Andreafort, VT 19910 US",,michaelbryant@example.com,Buyer :Scott Griffin,"Buyer :Scott Griffin | 87847 Ponce Street | Port Andreafort, VT 19910 US | Tel:+(079)419-2613 | Email:michaelbryant@example.com | Site:https://www.wilson.com/",https://www.wilson.com/,+(079)419-2613,EUR,Invoice Date: 25-Jul-2007,2007-07-25,,GST(7%) : 55.47,GSTIN: 33123456789102Z1,[],INVOICE ID 4Y2M5d-430,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 792.38  EUR,792.38,"[[{'bbox': [[20.0, 390.8898], [570.0, 282.8898]]}]]",,INVOICE,TOTAL : 810.41 EUR,810.41,Template2_Instance113.json
"Bill to:Megan Cardenas
1609 Charles Glens Suite 029
South Robert, IL 85116 US
Tel:+(074)373-7411
Email:fross@example.com
Site:http://www.yates.net/",1609 Charles Glens Suite 029,"South Robert, IL 85116 US",,fross@example.com,Bill to:Megan Cardenas,"Bill to:Megan Cardenas | 1609 Charles Glens Suite 029 | South Robert, IL 85116 US | Tel:+(074)373-7411 | Email:fross@example.com | Site:http://www.yates.net/",http://www.yates.net/,+(074)373-7411,USD,Date: 02-Jun-1998,1998-06-02,,GST(7%) : 33.63,GSTIN: 33123456789102Z1,[],INVOICE # 1662-250,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 480.47  USD,480.47,"[[{'bbox': [[20.0, 354.8898], [570.0, 282.8898]]}]]",,TAX INVOICE,TOTAL : 502.79 USD,502.79,Template2_Instance114.json
"Buyer :Marcus Taylor
824 Miranda Run Suite 820
Kimberlyshire, NV 33263 US
Tel:+(137)464-9034
Email:dwalker@example.com
Site:https://www.martinez-rivera.com/",824 Miranda Run Suite 820,"Kimberlyshire, NV 33263 US",,dwalker@example.com,Buyer :Marcus Taylor,"Buyer :Marcus Taylor | 824 Miranda Run Suite 820 | Kimberlyshire, NV 33263 US | Tel:+(137)464-9034 | Email:dwalker@example.com | Site:https://www.martinez-rivera.com/",https://www.martinez-rivera.com/,+(137)464-9034,USD,Invoice Date: 29-Mar-2013,2013-03-29,,GST(7%) : 69.05,GSTIN: 33123456789102Z1,[],Invoice number 2241-894,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 986.40  $,986.4,"[[{'bbox': [[20.0, 390.8898], [570.0, 282.8898]]}]]",,INVOICE,TOTAL : 1013.63 $,3.63,Template2_Instance115.json
"Buyer :Emily White
008 Hendricks Hills
Port Patriciaton, WI 82172 US
Tel:+(961)959-8860
Email:rturner@example.com
Site:http://hartman-mosley.com/",008 Hendricks Hills,"Port Patriciaton, WI 82172 US",,rturner@example.com,Buyer :Emily White,"Buyer :Emily White | 008 Hendricks Hills | Port Patriciaton, WI 82172 US | Tel:+(961)959-8860 | Email:rturner@example.com | Site:http://hartman-mosley.com/",http://hartman-mosley.com/,+(961)959-8860,EUR,Date: 14-May-2008,2008-05-14,,GST(7%) : 18.81,GSTIN: 33123456789102Z1,[],Invoice number INV/56-66/023,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 268.74  EUR,268.74,"[[{'bbox': [[20.0, 336.8898], [570.0, 282.8898]]}]]",,INVOICE,TOTAL : 264.52 EUR,264.52,Template2_Instance116.json
"Bill to:Brian Sullivan
201 Luna Lodge
Gailside, MP 26309 US
Tel:+(579)583-0781
Email:christianjordan@example.com
Site:http://www.thompson.com/",201 Luna Lodge,"Gailside, MP 26309 US",,christianjordan@example.com,Bill to:Brian Sullivan,"Bill to:Brian Sullivan | 201 Luna Lodge | Gailside, MP 26309 US | Tel:+(579)583-0781 | Email:christianjordan@example.com | Site:http://www.thompson.com/",http://www.thompson.com/,+(579)583-0781,EUR,Invoice Date: 23-May-2012,2012-05-23,,GST(7%) : 63.76,GSTIN: 33123456789102Z1,[],INVOICE # 3406-660,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 910.79  EUR,910.79,"[[{'bbox': [[20.0, 390.8898], [570.0, 282.8898]]}]]",,INVOICE,TOTAL : 921.29 EUR,921.29,Template2_Instance117.json
"Buyer :Douglas Anderson
7606 John Mills
New Gregory, DE 60383 US
Tel:+(640)284-4456
Email:jonathanreyes@example.org
Site:http://coleman.com/",7606 John Mills,"New Gregory, DE 60383 US",,jonathanreyes@example.org,Buyer :Douglas Anderson,"Buyer :Douglas Anderson | 7606 John Mills | New Gregory, DE 60383 US | Tel:+(640)284-4456 | Email:jonathanreyes@example.org | Site:http://coleman.com/",http://coleman.com/,+(640)284-4456,USD,Date: 26-Dec-2022,2022-12-26,,GST(7%) : 88.11,GSTIN: 33123456789102Z1,[],Invoice number INV/73-01/424,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 1258.69  USD,8.69,"[[{'bbox': [[20.0, 390.8898], [570.0, 282.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 1266.64 USD,6.64,Template2_Instance118.json
"Buyer :Jason Young
48012 Mcclure Union
Andersonbury, HI 28562 US
Tel:+(262)754-2951
Email:vegatammy@example.org
Site:https://small.com/",48012 Mcclure Union,"Andersonbury, HI 28562 US",,vegatammy@example.org,Buyer :Jason Young,"Buyer :Jason Young | 48012 Mcclure Union | Andersonbury, HI 28562 US | Tel:+(262)754-2951 | Email:vegatammy@example.org | Site:https://small.com/",https://small.com/,+(262)754-2951,EUR,Date: 25-Feb-1999,1999-02-25,,GST(7%) : 30.57,GSTIN: 33123456789102Z1,[],INVOICE ID INV77605907,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 436.68  EUR,436.68,"[[{'bbox': [[20.0, 336.8898], [570.0, 282.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 452.55 EUR,452.55,Template2_Instance119.json
"Buyer :Thomas Reese
129 Armstrong Turnpike
Jeanetteborough, GU 73437 US
Tel:+(376)541-3808
Email:fjones@example.org
Site:https://www.mcdonald-wilson.com/",129 Armstrong Turnpike,"Jeanetteborough, GU 73437 US",,fjones@example.org,Buyer :Thomas Reese,"Buyer :Thomas Reese | 129 Armstrong Turnpike | Jeanetteborough, GU 73437 US | Tel:+(376)541-3808 | Email:fjones@example.org | Site:https://www.mcdonald-wilson.com/",https://www.mcdonald-wilson.com/,+(376)541-3808,USD,Date: 26-Aug-2004,2004-08-26,,GST(7%) : 19.73,GSTIN: 33123456789102Z1,[],INVOICE # INV77878385,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 281.82  USD,281.82,"[[{'bbox': [[20.0, 336.8898], [570.0, 282.8898]]}]]",,TAX INVOICE,TOTAL : 292.41 USD,292.41,Template2_Instance12.json
