BILL_TO,CURRENCY,DATE,DATE_NORM,DISCOUNT,DISCOUNT_AMOUNT,DUE_DATE,DUE_DATE_NORM,INVOICE_INFO,NOTE,SELLER_ADDRESS,SELLER_NAME,SELLER_addr_line1,SELLER_addr_line2,SELLER_city_state_postal_country,SELLER_email,SELLER_name,SELLER_raw,SELLER_site,SELLER_tel,SUB_TOTAL,SUB_TOTAL_AMOUNT,TABLE,TAX_AMOUNT,TITLE,TOTAL,TOTAL_AMOUNT,_source_file
"BILL_TO:
Seth Gardner
23694 Brady Plaza
Bestfort, WI 94277 US
Tel:+(263)884-5212
Email:matthewdaniel@example.com
Site:https://murphy.org/",EUR,Invoice Date: 14-Oct-2012,2012-10-14,DISCOUNT(1.04%): (-)  11.49,-11.49,Due Date : 19-Jan-2009,2009-01-19,[],Thank you for your business!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 1104.43  EUR,4.43,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",,INVOICE,TOTAL : 1114.00 EUR,4.0,Template4_Instance107.json
"BILL_TO:
David Ballard
1084 Meyer Mountains Apt. 323
Hernandezchester, WV 87540 US
Tel:+(442)633-6015
Email:lvance@example.com
Site:https://sanchez.net/",USD,Date: 10-Oct-2010,2010-10-10,DISCOUNT(3.4%): (-)  15.7,-15.7,Due Date : 28-Sep-2014,2014-09-28,[],"Note:
This order is shipped through blue dart courier","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 461.65  $,461.65,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",,INVOICE,TOTAL : 461.82 $,461.82,Template4_Instance108.json
"BILL_TO:
Zachary Peterson
1850 Harris Plaza Suite 682
Heatherhaven, MO 47949 US
Tel:+(819)393-4839
Email:jennifercoleman@example.org
Site:http://www.evans.info/",USD,Date: 15-Dec-2007,2007-12-15,DISCOUNT(1.84%): (-)  24.02,-24.02,Due Date : 14-Mar-1996,1996-03-14,[],Thank you for your business!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 1305.61  USD,5.61,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 1313.86 USD,3.86,Template4_Instance109.json
"BILL_TO:
Kayla Garcia
923 Robert Mills Apt. 331
East Michael, IN 82416 US
Tel:+(160)896-2992
Email:angelamccall@example.net
Site:https://www.jacobs-young.com/",EUR,Date: 08-Aug-2009,2009-08-08,DISCOUNT(3.2%): (-)  19.82,-19.82,Due Date : 11-Mar-1997,1997-03-11,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 619.38  EUR,619.38,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",,INVOICE,TOTAL : 629.08 EUR,629.08,Template4_Instance11.json
"BILL_TO:
Stacey Reed
184 Stacey Overpass Apt. 091
North Kristen, AS 50936 US
Tel:+(628)642-6177
Email:gwendolyn74@example.com
Site:http://fisher.biz/",USD,Date: 29-May-1993,1993-05-29,DISCOUNT(1.8%): (-)  13.56,-13.56,Due Date : 31-Jan-2002,2002-01-31,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 753.40  USD,753.4,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 773.38 USD,773.38,Template4_Instance110.json
"BILL_TO:
Patricia Craig
13003 Russell Trail
Escobarfort, GA 08317 US
Tel:+(719)039-3467
Email:pruittedward@example.net
Site:http://www.mccoy.com/",EUR,Invoice Date: 08-Apr-1999,1999-04-08,DISCOUNT(2.68%): (-)  11.57,-11.57,Due Date : 21-Apr-2002,2002-04-21,[],"Note:
This order is shipped through blue dart courier","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 431.85  EUR,431.85,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",,TAX INVOICE,TOTAL : 441.91 EUR,441.91,Template4_Instance111.json
"BILL_TO:
Benjamin Buck
338 Fox Drives Suite 944
Amandafort, PR 67900 US
Tel:+(990)293-1993
Email:kblack@example.com
Site:http://contreras-singleton.org/",USD,Date: 08-Jun-1998,1998-06-08,DISCOUNT(1.14%): (-)  6.05,-6.05,Due Date : 29-Jul-2020,2020-07-29,[],"Note:
This order is shipped through blue dart courier","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 530.80  USD,530.8,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",,TAX INVOICE,TOTAL : 538.26 USD,538.26,Template4_Instance112.json
"BILL_TO:
Ryan Cox
201 Emma Estate Apt. 223
Margaretport, NE 76716 US
Tel:+(550)351-0846
Email:stephanie30@example.com
Site:http://tyler.com/",USD,Date: 18-May-2006,2006-05-18,DISCOUNT(2.21%): (-)  5.91,-5.91,Due Date : 15-Nov-2007,2007-11-15,[],Note:Total payment due in 14 days.,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 267.20  USD,267.2,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",,TAX INVOICE,TOTAL : 272.61 USD,272.61,Template4_Instance113.json
"BILL_TO:
Julian Reyes
888 Jesse Courts
Martinport, NH 02484 US
Tel:+(583)859-1968
Email:sanchezjason@example.com
Site:http://ford.com/",EUR,Invoice Date: 20-Jan-1995,1995-01-20,DISCOUNT(2.04%): (-)  3.96,-3.96,Due Date : 06-Nov-2002,2002-11-06,[],"Note:
This order is shipped through blue dart courier","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 194.34  EUR,194.34,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",,INVOICE,TOTAL : 198.32 EUR,198.32,Template4_Instance114.json
"BILL_TO:
Priscilla Wheeler
15056 Samantha Lodge Suite 603
Lake Douglasland, LA 52646 US
Tel:+(874)260-0148
Email:dwells@example.net
Site:https://www.hooper.info/",EUR,Date: 26-Sep-2013,2013-09-26,DISCOUNT(2.96%): (-)  15.81,-15.81,Due Date : 01-Oct-1995,1995-10-01,[],Thank you for your business!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 534.04  EUR,534.04,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",,INVOICE,TOTAL : 552.32 EUR,552.32,Template4_Instance115.json
"BILL_TO:
James Valdez
910 Nguyen Bypass Suite 459
New Victoriaborough, RI 11312 US
Tel:+(937)468-4220
Email:gcortez@example.net
Site:https://www.harris.org/",EUR,Invoice Date: 29-Dec-2011,2011-12-29,DISCOUNT(3.82%): (-)  24.24,-24.24,Due Date : 28-Aug-2018,2018-08-28,[],Thank you for your business!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 634.68  EUR,634.68,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",,INVOICE,TOTAL : 656.30 EUR,656.3,Template4_Instance116.json
"BILL_TO:
Kim Moore
18765 Taylor Land
New Jessica, AL 94892 US
Tel:+(565)294-4448
Email:uhernandez@example.org
Site:http://www.love.com/",USD,Date: 02-Feb-2005,2005-02-02,DISCOUNT(2.34%): (-)  2.2,-2.2,Due Date : 22-Jan-2020,2020-01-22,[],Thank you for your business!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 94.01  $,94.01,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",,TAX INVOICE,TOTAL : 95.48 $,95.48,Template4_Instance117.json
"BILL_TO:
Raymond Estrada
98461 Hill Plains Suite 260
Loveville, NE 96163 US
Tel:+(347)786-9635
Email:mary81@example.net
Site:http://knight.com/",EUR,Date: 24-Nov-2010,2010-11-24,DISCOUNT(2.65%): (-)  17.2,-17.2,Due Date : 26-Jun-2006,2006-06-26,[],Note:Total payment due in 14 days.,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 648.87  EUR,648.87,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",,INVOICE,TOTAL : 645.90 EUR,645.9,Template4_Instance118.json
"BILL_TO:
Michelle Anderson
683 Jennifer Pike Suite 130
North Aaronmouth, NC 31265 US
Tel:+(511)699-3180
Email:cynthia27@example.net
Site:http://www.hurley-nichols.com/",EUR,Invoice Date: 25-Sep-2018,2018-09-25,DISCOUNT(4.17%): (-)  20.3,-20.3,Due Date : 15-Dec-2016,2016-12-15,[],Thank you for your business!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 486.87  EUR,486.87,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",,TAX INVOICE,TOTAL : 489.57 EUR,489.57,Template4_Instance119.json
"BILL_TO:
Emily Weber
120 Riddle Crescent
Patriciashire, KY 03362 US
Tel:+(808)384-7392
Email:josephholmes@example.org
Site:https://www.casey.com/",EUR,Date: 27-Aug-1999,1999-08-27,DISCOUNT(1.6%): (-)  3.9,-3.9,Due Date : 24-Dec-1999,1999-12-24,[],Thank you for your business!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 243.66  EUR,243.66,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",,INVOICE,TOTAL : 252.14 EUR,252.14,Template4_Instance12.json
"BILL_TO:
Angela Johnston
24134 Adam Isle Apt. 123
Lake Janetchester, ND 24696 US
Tel:+(795)818-1446
Email:fbennett@example.com
Site:https://www.wagner-gonzalez.com/",USD,Invoice Date: 12-Mar-1998,1998-03-12,DISCOUNT(4.8%): (-)  7.77,-7.77,Due Date : 12-Nov-2009,2009-11-12,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 161.88  $,161.88,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 162.69 $,162.69,Template4_Instance120.json
"BILL_TO:
Cheryl Nash
42995 Kelsey Hollow Apt. 317
New Shawnbury, MH 56418 US
Tel:+(271)473-0437
Email:woodshawn@example.com
Site:https://ellison.info/",EUR,Invoice Date: 03-Jul-1994,1994-07-03,DISCOUNT(1.62%): (-)  6.1,-6.1,Due Date : 21-Nov-2003,2003-11-21,[],Thank you for your business!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 376.70  EUR,376.7,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",,INVOICE,TOTAL : 379.38 EUR,379.38,Template4_Instance121.json
"BILL_TO:
Natasha Espinoza
126 Pamela Terrace
East Lindaport, TN 52393 US
Tel:+(255)147-9789
Email:mwillis@example.org
Site:https://www.martinez.com/",USD,Invoice Date: 21-Sep-2014,2014-09-21,DISCOUNT(1.62%): (-)  4.37,-4.37,Due Date : 03-May-2021,2021-05-03,[],Thank you for your business!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 269.59  USD,269.59,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",,TAX INVOICE,TOTAL : 270.57 USD,270.57,Template4_Instance122.json
"BILL_TO:
Lisa Hayes
91104 Ramos Parkways Apt. 296
North Andrea, NY 45253 US
Tel:+(480)032-5037
Email:william32@example.com
Site:http://www.hubbard.com/",EUR,Date: 17-Nov-2017,2017-11-17,DISCOUNT(3.48%): (-)  10.72,-10.72,Due Date : 04-Apr-2000,2000-04-04,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 308.18  EUR,308.18,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 313.55 EUR,313.55,Template4_Instance123.json
"BILL_TO:
Jessica Weeks
9857 Oscar Mews Apt. 179
Jeffreyside, MO 81244 US
Tel:+(902)721-9792
Email:johnsonann@example.org
Site:https://www.davis.net/",EUR,Invoice Date: 28-Jul-2001,2001-07-28,DISCOUNT(4.3%): (-)  5.88,-5.88,Due Date : 08-Oct-2008,2008-10-08,[],"Note:
This order is shipped through blue dart courier","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 136.78  EUR,136.78,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",,INVOICE,TOTAL : 142.72 EUR,142.72,Template4_Instance124.json
"BILL_TO:
Michelle Garcia
58288 Orr Drive
Lake Karenland, TX 57345 US
Tel:+(302)838-9481
Email:wfry@example.net
Site:http://floyd.com/",USD,Date: 15-Nov-2008,2008-11-15,DISCOUNT(2.63%): (-)  7.67,-7.67,Due Date : 29-Jul-2008,2008-07-29,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 291.71  $,291.71,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 300.78 $,300.78,Template4_Instance125.json
"BILL_TO:
Richard Rice
95267 Palmer Prairie Apt. 736
New Marcia, NE 45024 US
Tel:+(443)131-0717
Email:carlsoncynthia@example.org
Site:https://trevino.net/",USD,Invoice Date: 12-Aug-2010,2010-08-12,DISCOUNT(1.97%): (-)  13.23,-13.23,Due Date : 09-Mar-2006,2006-03-09,[],Thank you for choosing us!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 671.44  USD,671.44,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",,TAX INVOICE,TOTAL : 676.15 USD,676.15,Template4_Instance126.json
"BILL_TO:
Brittany Jones
968 Christian Cape
West Lawrenceton, SD 72613 US
Tel:+(112)081-4615
Email:tkane@example.org
Site:https://www.smith.net/",USD,Date: 11-Sep-2005,2005-09-11,DISCOUNT(4.84%): (-)  27.82,-27.82,Due Date : 21-Dec-2001,2001-12-21,[],Note:Total payment due in 14 days.,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 574.88  $,574.88,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",,INVOICE,TOTAL : 595.55 $,595.55,Template4_Instance127.json
